PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Blue (46 nm) auto fluorescence outcome,Supplier
144212433,NCGC00255972-01,2,71,,,,active agonist,active agonist,0.419981231,75.41507887,active antagonist,0.870756147,-48.12606368,active agonist,0.297323942,62.20316255,inactive,,0,inactive,Acros
170466222,NCGC00160483-02,2,71,,,,active agonist,active agonist,1.828074485,103.4011779,active antagonist,1.452091178,-30.41713503,active agonist,1.198562137,82.87338942,inactive,,0,inactive,Vitas
144213195,NCGC00256588-01,2,71,,,,active agonist,active agonist,3.466542659,123.8512171,active antagonist,4.534853014,-43.2101691,active agonist,2.649902421,96.39417186,inactive,,0,inactive,SIGMA
170465880,NCGC00025158-02,2,71,,,,active agonist,active agonist,3.51016249,125.1813902,active antagonist,1.793331405,-32.66868906,active agonist,2.13137837,97.57343346,inactive,,0,inactive,Tocris
170464767,NCGC00016000-18,2,71,,,,active agonist,active agonist,3.578166571,125.7513976,active antagonist,0.393846709,-38.31972543,active agonist,2.391445864,89.53409944,inconclusive agonist,0.477156181,51.16469908,inactive,Microsource
251919755,NCGC00357207-01,2,70,,,,active agonist,active agonist,0.3167801,69.54664057,active antagonist,11.02616682,-97.22020125,active agonist,0.3167801,61.85392718,inconclusive antagonist,10.40937271,-72.22084863,,Sigma Chemical Company
170466167,NCGC00094815-05,2,69,,,,active agonist,active agonist,0.213137837,63.8681232,active antagonist,0.289730281,-38.31710797,inconclusive agonist,,33.10877587,inconclusive antagonist,,,inconclusive,Vitas
144213317,NCGC00256542-01,2,69,,,,active agonist,active agonist,2.104892313,101.2246626,active antagonist,1.548447727,-29.44809304,active agonist,1.737386926,88.59669827,inconclusive antagonist,58.19645745,-56.88446079,inactive,SIGMA
170466677,NCGC00262923-01,2,69,,,,active agonist,active agonist,2.13137837,98.45856696,active antagonist,2.257670478,-29.76907284,active agonist,1.759248628,92.10576697,inactive,,0,,GVK
170465278,NCGC00178737-05,2,69,,,,active agonist,active agonist,2.301409423,101.5393587,active antagonist,2.485004737,-35.0630952,active agonist,2.13137837,96.99140121,inactive,,0,inactive,Microsource
144209427,NCGC00259778-01,2,69,,,,active agonist,active agonist,2.428411322,102.9178195,active antagonist,1.752490139,-31.31438045,active agonist,1.892295323,87.51138162,active antagonist,62.18069659,-91.1282234,inactive,SIGMA
144212701,NCGC00255655-01,2,69,,,,active agonist,active agonist,2.649902421,103.9006427,active antagonist,30.89559397,-84.35308661,active agonist,2.454124262,83.28888452,active antagonist,36.02161789,-105.8023105,inactive,SIGMA
170466778,NCGC00181330-02,2,69,,,,active agonist,active agonist,2.897302806,108.1698855,active antagonist,10.28001828,-96.71078519,active agonist,2.051133307,79.87930405,active antagonist,22.57670478,-110.1310333,inactive,Timtec
144211734,NCGC00255651-01,2,69,,,,active agonist,active agonist,7.760622329,148.8191324,active antagonist,5.932392566,-38.30961136,active agonist,3.74308666,96.62569261,inactive,,0,inactive,LightBiologicals
144211722,NCGC00255531-01,2,69,,,,active agonist,active agonist,12.2997575,185.6077443,active antagonist,17.37386926,-49.45611476,active agonist,9.048221322,104.5000075,active antagonist,48.96621656,-91.95360561,inactive,SIGMA
144206813,NCGC00183009-01,2,68,,,,active agonist,active agonist,1.899592971,92.43094376,active antagonist,3.010651969,-32.07518077,active agonist,0.989298205,71.36030629,inactive,,0,inactive,Pharmaron
144209785,NCGC00260135-01,2,68,,,,active agonist,active agonist,2.050122679,93.65883651,inconclusive antagonist,19.35440613,-84.14291873,active agonist,2.01115951,104.1868508,inconclusive agonist,,5.091625153,inactive,Sensient
170465859,NCGC00018204-13,2,68,,,,active agonist,active agonist,2.582223844,101.0153873,active antagonist,2.13137837,-34.17260112,active agonist,1.629273099,90.14719058,inactive,,0,inconclusive,"Prestwick Chemical, Inc."
144207253,NCGC00257609-01,2,68,,,,active agonist,active agonist,2.82143653,102.5721342,active antagonist,2.71521121,-34.50508076,active agonist,2.419934538,87.2717839,active antagonist,60.78600731,-80.37306082,inactive,Spectrum Chemical
251919707,NCGC00357013-01,2,68,,,,active agonist,active agonist,3.107596037,107.1641964,active antagonist,2.07694291,-38.9137921,active agonist,4.144045918,83.94038932,inconclusive agonist,,,,LightBiologicals
144209993,NCGC00260341-01,2,68,,,,active agonist,active agonist,3.304685607,109.7021553,inconclusive antagonist,,,active agonist,3.11982439,89.76811892,active agonist,24.78164601,26.10379507,inactive,TCI
144212705,NCGC00255204-01,2,68,,,,active agonist,active agonist,3.79018627,112.3031624,active antagonist,7.858274966,-63.6793847,active agonist,2.897302806,85.94551266,inconclusive antagonist,22.57670478,-69.47464601,inactive,ChemService
170466311,NCGC00163169-05,2,68,,,,active agonist,active agonist,4.25265894,115.0472614,active antagonist,3.128435612,-35.10575876,active agonist,3.51016249,105.033453,inactive,,0,inactive,BIOMOL
170465065,NCGC00178860-06,2,68,,,,active agonist,active agonist,4.25265894,117.9437424,active antagonist,2.13137837,-35.56570284,active agonist,3.79018627,108.4785648,inactive,,0,inactive,Microsource
170466393,NCGC00262932-01,2,67,,,,active agonist,active agonist,0.22147628,58.46605188,active antagonist,0.134480884,-23.97613575,active agonist,0.197390943,46.83022543,active antagonist,0.182807448,-44.03273669,,GVK
170465330,NCGC00263568-01,2,67,,,,active agonist,active agonist,0.312843561,61.22882411,inactive,,0,active agonist,0.169301402,68.0204896,inactive,,0,inactive,Bosche
170465019,NCGC00016391-13,2,67,,,,active agonist,active agonist,1.56793199,83.28476717,inconclusive antagonist,1.008464359,-30.66308911,active agonist,0.713938092,63.49924466,inconclusive agonist,,,inactive,Microsource
144208226,NCGC00258581-01,2,67,,,,active agonist,active agonist,5.078229827,115.8054091,active antagonist,7.173190291,-93.78195907,inconclusive agonist,3.459757711,60.94808748,active antagonist,12.2756836,-100.6385438,inactive,SIGMA
144211951,NCGC00256240-01,2,67,,,,active agonist,active agonist,6.236667187,124.0653752,active antagonist,6.997655677,-38.5655562,active agonist,5.558435481,84.21814242,inactive,,0,inactive,SIGMA
170465337,NCGC00263557-01,2,67,,,,active agonist,active agonist,6.486253036,130.1820158,active antagonist,5.67101184,-37.86603545,active agonist,3.938467091,106.6421114,inactive,,0,inactive,Bosche
170466391,NCGC00262908-01,2,67,,,,active agonist,active agonist,7.003694936,134.4520781,active antagonist,13.44808836,-77.27318673,active agonist,3.79018627,112.7352517,active antagonist,25.82223844,-75.11833178,,GVK
170464788,NCGC00022001-13,2,66,,,,active agonist,active agonist,0.072776956,46.73216524,inactive,,0,active agonist,0.055632326,54.00446593,inactive,,0,inactive,Vitas
144210120,NCGC00260468-01,2,66,,,,active agonist,active agonist,0.093987576,48.95704663,inactive,,0,active agonist,0.101485451,56.163639,inactive,,0,inactive,SIGMA
144212248,NCGC00255866-01,2,66,,,,active agonist,active agonist,0.346654266,59.45536199,active antagonist,0.30895594,-29.32834407,active agonist,0.321043007,55.55521292,active antagonist,0.297323942,-47.62554184,inactive,LightBiologicals
144211088,NCGC00254675-01,2,66,,,,active agonist,active agonist,3.089559397,97.59929867,active antagonist,2.753572711,-32.20854718,active agonist,2.025644434,88.69581902,inconclusive agonist,,,inactive,LightBiologicals
144207801,NCGC00258157-01,2,66,,,,active agonist,active agonist,3.341744554,96.87259688,active antagonist,4.542621813,-64.64116995,active agonist,2.978332969,36.30719086,active antagonist,6.416623862,-61.87237886,inactive,Io-li-tec
144212082,NCGC00256108-01,2,66,,,,active agonist,active agonist,5.210897829,112.3761237,inactive,,0,active agonist,4.919404771,99.15450526,active agonist,14.6863055,50.44606203,inactive,Sigma DiscoveryCPR
144209948,NCGC00260298-01,2,66,,,,active agonist,active agonist,5.751185862,114.585949,active antagonist,8.441586383,-31.73179478,active agonist,3.112366528,85.06421665,inactive,,0,inactive,TCI
144207712,NCGC00258068-01,2,66,,,,active agonist,active agonist,7.988323316,129.087911,active antagonist,4.323037143,-37.17967199,active agonist,4.003645664,85.36898666,inactive,,0,inactive,Interchem
144207391,NCGC00257747-01,2,66,,,,active agonist,active agonist,8.470030165,135.2390908,active antagonist,21.27575384,-90.63490273,active agonist,6.991198353,96.93411972,active antagonist,49.49389401,-99.24794952,inactive,Sensient
170465011,NCGC00025125-18,2,65,,,,active agonist,active agonist,0.060070404,41.64875819,inactive,,0,active agonist,0.049582363,42.20889744,inactive,,0,inactive,"Prestwick Chemical, Inc."
170465186,NCGC00263543-01,2,65,,,,active agonist,active agonist,0.312843561,55.56456623,inconclusive antagonist,,,active agonist,0.22147628,58.15250651,inactive,,0,inactive,Tocris
144209439,NCGC00259790-01,2,65,,,,active agonist,active agonist,0.685662194,65.10503588,active antagonist,1.789686124,-82.15763926,active agonist,0.252799884,43.97309141,active antagonist,1.595059437,-100.9475789,inactive,SigmaAldrich
144210818,NCGC00254337-01,2,65,,,,active agonist,active agonist,2.025644434,79.91014349,active antagonist,4.119993672,-41.79569939,active agonist,1.548447727,75.41796487,inactive,,0,inactive,LightBiologicals
170466473,NCGC00160566-02,2,65,,,,active agonist,active agonist,2.301409423,83.73133699,active antagonist,2.13137837,-38.91493612,active agonist,1.973909426,75.72893977,active agonist,4.77156181,37.31792361,inactive,SIGMA
144209003,NCGC00259354-01,2,65,,,,active agonist,active agonist,3.634691305,93.95096747,active antagonist,4.846938754,-38.42698063,active agonist,2.943071852,71.52223865,inactive,,0,inactive,Sensient
144207895,NCGC00258251-01,2,65,,,,active agonist,active agonist,5.736293869,110.5058574,active antagonist,7.50409043,-95.55819716,active agonist,3.225755096,38.13253608,active antagonist,13.3443695,-95.50987795,inactive,Io-li-tec
144214025,NCGC00244580-01,2,65,,,,active agonist,active agonist,5.833754891,110.2497903,active antagonist,12.96651235,-63.58526528,active agonist,4.633916224,82.71142512,active antagonist,46.7345179,-84.04383998,inactive,LightBiologicals
170465569,NCGC00263540-01,2,65,,,,active agonist,active agonist,8.165708775,124.4548203,active antagonist,7.003694936,-36.04821898,active agonist,6.242049682,100.2355668,inactive,,0,inactive,"Prestwick Chemical, Inc."
144212285,NCGC00255542-01,2,65,,,,active agonist,active agonist,9.770044661,135.2591187,active antagonist,5.819645745,-32.60485056,active agonist,5.932392566,108.0262367,inconclusive agonist,,,inactive,SIGMA
144208046,NCGC00258402-01,2,65,,,,active agonist,active agonist,12.45181346,151.3859344,active antagonist,14.51774865,-46.92533364,active agonist,7.560768486,97.83438569,inactive,,0,inactive,SIGMA
251919799,NCGC00357014-01,2,64,,,,active agonist,active agonist,0.00293376,28.6368928,inactive,,0,active agonist,0.826845865,29.58412812,inactive,,0,,LightBiologicals
170464976,NCGC00344583-01,2,64,,,,active agonist,active agonist,0.156793199,46.88044291,inactive,,0,active agonist,0.197390943,50.86603536,inactive,,0,inactive,SIGMA
144207536,NCGC00257892-01,2,64,,,,active agonist,active agonist,0.505832172,57.15555745,inconclusive antagonist,0.817221495,-25.70642654,active agonist,0.486787907,52.97728833,active antagonist,0.386669379,-57.43877029,inactive,SIGMA
144211972,NCGC00255467-01,2,64,,,,active agonist,active agonist,1.737386926,75.68759126,inactive,,0,active agonist,0.360216179,40.90597208,active antagonist,4.199812308,-97.49390552,inactive,SIGMA
144208476,NCGC00258830-01,2,64,,,,active agonist,active agonist,5.288544244,98.93546747,active antagonist,4.121001845,-29.93833788,active agonist,4.200840013,83.78084018,inconclusive antagonist,48.97819872,-52.83762075,inactive,SIGMA
144209207,NCGC00259558-01,2,64,,,,active agonist,active agonist,6.620437013,110.258336,active antagonist,13.20950848,-90.80571054,active agonist,5.464536423,70.14692861,active antagonist,19.38890689,-95.81657668,inactive,Cytec
170466305,NCGC00016672-04,2,64,,,,active agonist,active agonist,7.277695606,116.1097472,active antagonist,8.485170121,-35.27193679,active agonist,4.591915493,89.78424064,inactive,,0,inactive,"Prestwick Chemical, Inc."
170464931,NCGC00024714-11,2,64,,,,active agonist,active agonist,9.162075938,124.9492886,active antagonist,6.007040417,-36.13392001,active agonist,6.740010203,105.8444244,inactive,,0,inactive,SigmaAldrich
170466035,NCGC00249929-01,2,64,,,,active agonist,active agonist,11.98562137,143.7759583,active antagonist,11.98562137,-60.43169754,active agonist,7.003694936,68.84406447,inactive,,0,,GVK
144211611,NCGC00257544-01,2,64,,,,active agonist,active agonist,12.2997575,140.9484515,active antagonist,11.39103575,-42.88410352,active agonist,11.39103575,106.6599283,inconclusive antagonist,3.272627301,-32.68765492,inactive,Enamine
144211608,NCGC00255559-01,2,64,,,,active agonist,active agonist,15.6793199,162.8680128,active antagonist,8.817129531,-34.31397038,active agonist,9.162075938,116.556208,inactive,,0,inactive,SIGMA
144208745,NCGC00259096-01,2,63,,,,active agonist,active agonist,0.216184258,44.64282946,inactive,,0,active agonist,0.165256062,48.45646233,inconclusive agonist,,,inactive,SIGMA
144206814,NCGC00183006-01,2,63,,,,active agonist,active agonist,1.24545265,63.18264583,inconclusive antagonist,6.740010203,-65.61658912,active agonist,1.153437022,66.62106233,inactive,,0,inactive,Pharmaron
144209974,NCGC00260323-01,2,63,,,,active agonist,active agonist,2.563403689,77.00721203,inconclusive antagonist,2.374016166,-36.44293096,inconclusive agonist,2.241215782,92.16597243,inactive,,0,inactive,SigmaAldrich
144207948,NCGC00258304-01,2,63,,,,active agonist,active agonist,5.478642927,99.89802171,active antagonist,7.738788828,-88.80774272,inconclusive agonist,3.080867324,44.33493881,active antagonist,11.35898858,-87.14600556,inactive,Io-li-tec
144208007,NCGC00258363-01,2,63,,,,active agonist,active agonist,6.215048542,100.8336984,active antagonist,12.40065214,-95.32378528,active agonist,4.660628912,45.89931747,active antagonist,18.91375935,-90.89800447,inactive,Io-li-tec
170464766,NCGC00015829-12,2,63,,,,active agonist,active agonist,7.56241583,112.1487765,active antagonist,6.242049682,-34.45575838,active agonist,5.353780407,95.01065538,inactive,,0,inactive,Microsource
170466205,NCGC00262533-02,2,63,,,,active agonist,active agonist,7.858274966,111.9277308,active antagonist,4.77156181,-36.50498674,active agonist,6.242049682,104.3201733,inactive,,0,inactive,"Prestwick Chemical, Inc."
144208909,NCGC00259260-01,2,63,,,,active agonist,active agonist,8.264741681,115.1037317,active antagonist,11.90042898,-84.38135579,active agonist,4.387622794,105.1721836,inconclusive antagonist,,,inactive,Sensient
170464656,NCGC00015822-15,2,63,,,,active agonist,active agonist,8.485170121,114.8024233,active antagonist,7.277695606,-31.20977583,active agonist,6.242049682,99.98019217,inactive,,0,inactive,Enzo
144213917,NCGC00257393-01,2,63,,,,active agonist,active agonist,9.771240011,122.3326149,active antagonist,5.187399323,-25.54634334,active agonist,6.917508174,101.2115539,inactive,,0,inactive,LightBiologicals
144208176,NCGC00258531-01,2,63,,,,active agonist,active agonist,10.09607665,121.1509995,active antagonist,13.46333459,-42.68543781,active agonist,6.619410355,88.58981862,inactive,,0,inactive,SV Chembiotech
144210104,NCGC00260452-01,2,62,,,,active agonist,active agonist,0.138731916,39.120021,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,SIGMA
144211118,NCGC00254705-01,2,62,,,,active agonist,active agonist,0.30895594,44.63597594,active antagonist,9.048221322,-74.29078398,inconclusive agonist,,0.943295261,active antagonist,19.49380193,-95.02124169,inactive,SIGMA
144210015,NCGC00260363-01,2,62,,,,active agonist,active agonist,1.79772055,64.69600137,inactive,,0,active agonist,1.134284985,54.30645164,inactive,,0,inactive,TCI
144208130,NCGC00258486-01,2,62,,,,active agonist,active agonist,2.243366297,67.56304769,active antagonist,13.6217694,-69.914683,active agonist,1.999402317,60.52440946,active antagonist,9.643474224,-93.39400017,inactive,SIGMA
144209910,NCGC00260260-01,2,62,,,,active agonist,active agonist,4.74284011,88.21399438,active antagonist,11.03329299,-89.48467666,active agonist,4.928390945,76.36155148,active antagonist,16.19465934,-91.25596785,inactive,Io-li-tec
144212489,NCGC00255773-01,2,62,,,,active agonist,active agonist,6.529749924,96.9423086,active antagonist,9.402208593,-49.28316833,active agonist,4.896621656,83.14382218,inactive,,0,inactive,Acros
144211853,NCGC00255579-01,2,62,,,,active agonist,active agonist,6.616368952,98.44190942,active antagonist,16.6195674,-97.75491648,inconclusive agonist,5.784773806,59.82297619,active antagonist,37.20657684,-111.5094779,inactive,LightBiologicals
170465709,NCGC00181776-02,2,62,,,,active agonist,active agonist,6.740010203,98.79261644,active antagonist,0.213137837,-36.5689257,active agonist,4.958236305,83.22526322,active agonist,0.134480884,46.22072269,inactive,Labotest
144207527,NCGC00257883-01,2,62,,,,active agonist,active agonist,7.253057459,98.90548415,active antagonist,21.65315167,-80.82485804,active agonist,4.320371753,68.87620679,active antagonist,18.57181941,-93.02751439,inactive,SigmaAldrich
170465127,NCGC00015252-12,2,62,,,,active agonist,active agonist,7.277695606,98.51381603,active antagonist,8.01051714,-28.74268213,active agonist,5.353780407,86.89841091,inactive,,0,inactive,Vitas
170466430,NCGC00184983-03,2,62,,,,active agonist,active agonist,8.485170121,106.632302,active antagonist,4.504644824,-31.18277226,active agonist,7.003694936,104.7744146,inactive,,0,inactive,Prestwick
170465118,NCGC00018125-05,2,62,,,,active agonist,active agonist,8.485170121,106.8833716,active antagonist,4.77156181,-41.43440726,active agonist,6.007040417,86.96375238,inactive,,0,inactive,Microsource
144209958,NCGC00260307-01,2,62,,,,active agonist,active agonist,9.038258869,108.1227157,active antagonist,10.9501006,-42.78071708,active agonist,7.179344212,73.36476545,inconclusive antagonist,69.09046395,-44.28421851,inactive,TCI
144209781,NCGC00260132-01,2,62,,,,active agonist,active agonist,10.20446271,113.8897087,active antagonist,9.270933737,-32.95382917,active agonist,8.105692851,75.52007416,inconclusive agonist,,,inactive,SigmaAldrich
144206444,NCGC00247725-01,2,62,,,,active agonist,active agonist,12.39513457,124.3670539,active antagonist,6.455322025,-37.0815157,active agonist,7.820801191,94.59962915,inactive,,0,inactive,RTI
170466082,NCGC00178252-05,2,62,,,,active agonist,active agonist,12.4545265,123.2706593,active antagonist,10.68219629,-32.52322986,active agonist,8.485170121,82.56486692,inactive,,0,inactive,Microsource
170464777,NCGC00015563-13,2,62,,,,active agonist,active agonist,12.94177625,131.180495,active antagonist,4.25265894,-37.73183684,active agonist,9.520517464,114.1564623,inactive,,0,inactive,Enzo
144210899,NCGC00254359-01,2,61,,,,active agonist,active agonist,0.236172802,39.71005896,inactive,,0,active agonist,0.227281044,46.19137402,inactive,,0,inactive,LightBiologicals
170464977,NCGC00263548-01,2,61,,,,active agonist,active agonist,0.239144586,40.06567692,inactive,,0,active agonist,0.205113331,46.38704366,inconclusive agonist,,,inactive,Tocris
170464843,NCGC00016522-10,2,61,,,,active agonist,active agonist,0.648625304,50.00169219,inactive,,0,active agonist,0.57808791,44.48693559,active antagonist,0.67400102,-50.87888096,inactive,Labotest
170465455,NCGC00253592-01,2,61,,,,active agonist,active agonist,0.848517012,50.1448805,active antagonist,15.08900332,-80.71466201,active agonist,0.205113331,42.70061077,active antagonist,8.817129531,-88.05882857,,GVK
170466169,NCGC00016698-06,2,61,,,,active agonist,active agonist,6.007040417,89.8875094,active antagonist,5.563232635,-30.69978112,active agonist,4.77156181,87.52647976,inactive,,0,inactive,Prestwick
144213861,NCGC00257372-01,2,61,,,,active agonist,active agonist,8.064235741,98.73010098,active antagonist,12.78095233,-89.94084848,active agonist,5.494099862,63.004154,active antagonist,19.49380193,-109.097187,inactive,LightBiologicals
144212795,NCGC00256662-01,2,61,,,,active agonist,active agonist,8.379727229,103.1678431,inconclusive antagonist,6.529749924,-33.10981207,active agonist,7.18725767,89.12916662,inactive,,0,inactive,LightBiologicals
144207779,NCGC00258135-01,2,61,,,,active agonist,active agonist,9.207720334,102.5285167,active antagonist,13.77691948,-85.51638088,active agonist,4.52708643,38.12591683,active antagonist,16.69111898,-90.64816718,inactive,Io-li-tec
144213936,NCGC00256620-01,2,61,,,,active agonist,active agonist,14.82026581,128.1620648,active antagonist,11.32894129,-26.85792687,active agonist,13.7253257,110.086873,inactive,,0,inactive,MP Biomedicals
144208907,NCGC00259258-01,2,60,,,,active agonist,active agonist,0.781667678,45.94419719,active antagonist,26.69042486,-72.54236583,active agonist,0.723917076,42.50978288,inconclusive,,,inactive,SIGMA
144213348,NCGC00256618-01,2,60,,,,active agonist,active agonist,1.3030158,51.79420999,active antagonist,10.55074229,-81.36126438,inconclusive agonist,1.096351161,53.42039178,active antagonist,14.34221894,-93.95583088,inconclusive,SIGMA
144209723,NCGC00260074-01,2,60,,,,active agonist,active agonist,3.14461603,66.01407787,inactive,,0,active agonist,2.968708965,69.44750964,active antagonist,18.02606601,-106.2480685,inactive,Acros
144210770,NCGC00254253-01,2,60,,,,active agonist,active agonist,5.819645745,78.71858806,active antagonist,14.34046438,-80.93805616,inconclusive agonist,2.454124262,46.5417693,active antagonist,33.36029497,-120.7575569,inactive,Pfizer
144212515,NCGC00255776-01,2,60,,,,active agonist,active agonist,6.656253937,84.76682753,active antagonist,13.28097264,-91.79931034,active agonist,2.861298815,40.96659009,active antagonist,17.37386926,-93.96806671,inactive,Enamine
144212252,NCGC00255684-01,2,60,,,,active agonist,active agonist,6.656253937,86.58399699,active antagonist,13.28097264,-50.03504346,active agonist,8.220468112,89.0238096,inconclusive antagonist,24.54124262,-67.41030367,inactive,LightBiologicals
170466706,NCGC00262926-01,2,60,,,,active agonist,active agonist,7.003694936,89.21417464,active antagonist,8.01051714,-60.28923358,active agonist,5.353780407,77.81518893,inactive,,0,,GVK
144207302,NCGC00257658-01,2,60,,,,active agonist,active agonist,7.566897568,85.8606956,active antagonist,12.70333804,-63.76275201,active agonist,6.366750851,32.46239865,active antagonist,15.99255507,-71.63502189,inactive,SIGMA
