PUBCHEM_SID,PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PUBCHEM_ASSAYDATA_REVOKE,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
144210821,NCGC00254404-01,2,83,,,,active antagonist,active antagonist,0.405758297,-87.55208613,active antagonist,4.91587399,-104.9172696,LightBiologicals
144213197,NCGC00256325-01,2,83,,,,active antagonist,active antagonist,0.432771257,-90.97302973,active antagonist,1.658027548,-60.69597239,SIGMA
170465182,NCGC00016786-15,2,83,,,,active antagonist,active antagonist,0.143968477,-76.69833119,inconclusive antagonist,,-13.14399629,Microsource
170465514,NCGC00249897-01,2,83,,,,active antagonist,active antagonist,0.455268297,-92.48615085,active antagonist,2.113168241,-93.70711016,GVK
144209978,NCGC00260326-01,2,82,,,,active antagonist,active antagonist,0.507611308,-90.45259675,inconclusive antagonist,8.359839779,-91.72284834,Sensient
251919880,NCGC00356984-01,2,82,,,,active antagonist,active antagonist,0.551570134,-90.4920959,active antagonist,13.33319022,-107.7476964,BOC Sciences
251919686,NCGC00357201-01,2,82,,,,active antagonist,active antagonist,0.668242472,-95.85247587,active antagonist,11.43582258,-104.4546459,Sigma Chemical Company
144207253,NCGC00257609-01,2,81,,,,active antagonist,active antagonist,1.071613709,-99.47016195,inconclusive antagonist,12.02370358,-52.47582293,Spectrum Chemical
144210727,NCGC00254380-01,2,81,,,,active antagonist,active antagonist,0.588290374,-87.85531645,active antagonist,1.860337506,-91.55490511,Sigma DiscoveryCPR
144210861,NCGC00254242-01,2,81,,,,active antagonist,active antagonist,0.712730058,-89.70910443,active antagonist,2.253850342,-83.80677475,SIGMA
144212383,NCGC00255699-01,2,81,,,,active antagonist,active antagonist,0.50457424,-86.07549351,active antagonist,7.996962786,-95.31222431,Acros
170465409,NCGC00263525-01,2,81,,,,active antagonist,active antagonist,0.287254876,-76.11915409,active antagonist,4.057582969,-38.68068915,Sequoia
170465712,NCGC00013058-02,2,81,,,,active antagonist,active antagonist,0.31017068,-79.04386662,active antagonist,8.412674293,-89.15848702,SIGMA
144211355,NCGC00254940-01,2,80,,,,active antagonist,active antagonist,0.432771257,-77.22566284,active antagonist,40.07975656,-62.13524599,ChemService
144211896,NCGC00255354-01,2,80,,,,active antagonist,active antagonist,0.932377408,-93.04912774,active antagonist,14.22083426,-85.68078156,LightBiologicals
144213082,NCGC00256490-01,2,80,,,,active antagonist,active antagonist,0.432771257,-77.68086118,active antagonist,1.477718607,-31.4923185,Enamine
144207792,NCGC00258148-01,2,79,,,,active antagonist,active antagonist,1.608593817,-101.362639,active antagonist,45.33633357,-102.7473778,Io-li-tec
144209427,NCGC00259778-01,2,79,,,,active antagonist,active antagonist,1.32774007,-94.60818228,active antagonist,11.60859685,-59.13672555,SIGMA
144211447,NCGC00255029-01,2,79,,,,active antagonist,active antagonist,0.357211206,-73.64027022,active antagonist,0.343762429,-27.4441368,SIGMA
170466075,NCGC00022391-05,2,79,,,,active antagonist,active antagonist,1.55453585,-96.44266369,inconclusive antagonist,9.439175807,-29.46607235,SIGMA
170466898,NCGC00189073-02,2,79,,,,active antagonist,active antagonist,0.630861574,-78.86885349,inactive,,0,Selleck
144208434,NCGC00258788-01,2,78,,,,active antagonist,active antagonist,1.414855564,-90.07403908,active antagonist,11.45632802,-57.86303073,SIGMA
144209222,NCGC00259573-01,2,78,,,,active antagonist,active antagonist,2.349173142,-101.214552,inconclusive,,,ABCR
144209677,NCGC00260028-01,2,78,,,,active antagonist,active antagonist,2.357382054,-102.3895672,active antagonist,63.93862698,-100.3390975,SIGMA
144211215,NCGC00254802-01,2,78,,,,active antagonist,active antagonist,0.234202616,-62.73713083,inconclusive antagonist,24.33651622,-51.34069862,SIGMA
144211364,NCGC00254949-01,2,78,,,,active antagonist,active antagonist,0.932377408,-84.47491331,inconclusive antagonist,1.219715124,-27.44155374,SIGMA
144211494,NCGC00255075-01,2,78,,,,active antagonist,active antagonist,1.790296963,-94.71213228,active antagonist,5.882903737,-90.39965644,SIGMA
170466896,NCGC00186465-04,2,78,,,,active antagonist,active antagonist,1.100527102,-84.7563101,inconclusive antagonist,28.17955139,-62.62046921,Selleck
144207801,NCGC00258157-01,2,77,,,,active antagonist,active antagonist,2.951434918,-103.611104,active antagonist,14.23529738,-95.99268205,Io-li-tec
144208960,NCGC00259311-01,2,77,,,,active antagonist,active antagonist,1.681558989,-91.08724147,active antagonist,6.199815606,-93.59074317,SigmaAldrich
144209850,NCGC00260200-01,2,77,,,,active antagonist,active antagonist,2.074603231,-93.29236646,active antagonist,36.8922421,-72.29445923,Io-li-tec
144212741,NCGC00255963-01,2,77,,,,active antagonist,active antagonist,1.219715124,-84.25076037,active antagonist,16.58027548,-85.73988729,MP Biomedicals
144213967,NCGC00090708-05,2,77,,,,active antagonist,active antagonist,1.885336363,-90.31245518,active antagonist,6.926983019,-52.57960869,Enamine
170464963,NCGC00274060-01,2,77,,,,active antagonist,active antagonist,1.957044685,-91.13995165,active antagonist,16.15352875,-41.82447677,Selleck
170464976,NCGC00344583-01,2,77,,,,active antagonist,active antagonist,0.438127731,-65.92430047,inconclusive antagonist,,,SIGMA
170465011,NCGC00025125-18,2,77,,,,active antagonist,active antagonist,0.101921876,-54.29698296,inconclusive antagonist,,,"Prestwick Chemical, Inc."
144210942,NCGC00254335-01,2,76,,,,active antagonist,active antagonist,0.93142931,-74.02202369,inactive,,0,SIGMA
144211141,NCGC00254728-01,2,76,,,,active antagonist,active antagonist,1.420637365,-79.9175351,inactive,,0,SIGMA
144211307,NCGC00254892-01,2,76,,,,active antagonist,active antagonist,2.426228813,-91.11437804,active antagonist,11.47973215,-45.42032933,SIGMA
144213302,NCGC00256541-01,2,76,,,,active antagonist,active antagonist,1.368542878,-82.13836377,active antagonist,6.113056489,-61.12964618,SIGMA
144213454,NCGC00257125-01,2,76,,,,active antagonist,active antagonist,4.1647769,-110.811892,inconclusive agonist,21.68994291,52.51048336,LightBiologicals
144207798,NCGC00258154-01,2,75,,,,active antagonist,active antagonist,4.173030981,-101.5175984,active antagonist,44.20298612,-86.69253941,Io-li-tec
144209705,NCGC00260056-01,2,75,,,,active antagonist,active antagonist,2.485646449,-88.89234087,active antagonist,10.28267293,-86.0821598,TCI
144209781,NCGC00260132-01,2,75,,,,active antagonist,active antagonist,2.26531545,-86.93405566,inconclusive antagonist,,,SigmaAldrich
144209828,NCGC00260178-01,2,75,,,,active antagonist,active antagonist,1.562114918,-80.30371481,inconclusive antagonist,55.42592886,-64.09298826,Io-li-tec
144209845,NCGC00260195-01,2,75,,,,active antagonist,active antagonist,2.755613007,-92.67140649,active antagonist,61.69049088,-118.7537023,Io-li-tec
144209856,NCGC00260206-01,2,75,,,,active antagonist,active antagonist,2.346790411,-88.5296164,active antagonist,25.34006001,-96.67492128,Io-li-tec
144209858,NCGC00260208-01,2,75,,,,active antagonist,active antagonist,2.31585171,-86.66007011,active antagonist,45.32913305,-102.2713253,Io-li-tec
144210532,NCGC00254209-01,2,75,,,,active antagonist,active antagonist,2.078534713,-82.18622417,active antagonist,31.70228858,-113.6063276,Pharma
144210888,NCGC00254524-01,2,75,,,,active antagonist,active antagonist,2.342026161,-88.63619361,active antagonist,12.19715124,-110.3114051,LightBiologicals
144211853,NCGC00255579-01,2,75,,,,active antagonist,active antagonist,2.155766486,-87.62108355,active antagonist,7.948192612,-113.2626207,LightBiologicals
144212390,NCGC00255626-01,2,75,,,,active antagonist,active antagonist,1.422083426,-75.72414991,active antagonist,10.87072249,-79.35483538,Acros
144212639,NCGC00255815-01,2,75,,,,active antagonist,active antagonist,2.240105039,-83.26628067,active antagonist,10.00618166,-88.44603887,TCI
144213748,NCGC00257401-01,2,75,,,,active antagonist,active antagonist,3.521315408,-99.98776761,active antagonist,55.80908818,-110.4164632,SIGMA
170465186,NCGC00263543-01,2,75,,,,active antagonist,active antagonist,0.316179767,-54.95646283,inactive,,0,Tocris
170466177,NCGC00253763-01,2,75,,,,active antagonist,active antagonist,2.371013763,-87.65472062,inactive,,0,GVK
251919791,NCGC00356976-01,2,75,,,,active antagonist,active antagonist,3.308199883,-98.25384611,active antagonist,11.29601018,-86.02074793,Apollo Scientific
144207779,NCGC00258135-01,2,74,,,,active antagonist,active antagonist,6.339295771,-111.5265675,active antagonist,19.29187094,-92.75065099,Io-li-tec
144207793,NCGC00258149-01,2,74,,,,active antagonist,active antagonist,3.451612579,-90.20398311,active antagonist,54.70437279,-52.22931978,Io-li-tec
144207794,NCGC00258150-01,2,74,,,,active antagonist,active antagonist,2.83742947,-86.61640867,active antagonist,63.52213333,-61.6886014,Io-li-tec
144208673,NCGC00259026-01,2,74,,,,active antagonist,active antagonist,2.374913368,-81.6640489,active antagonist,31.06808166,-84.16833141,SigmaAldrich
144209207,NCGC00259558-01,2,74,,,,active antagonist,active antagonist,3.550327227,-92.31234435,active antagonist,13.60196697,-110.0558615,Cytec
144209356,NCGC00259707-01,2,74,,,,active antagonist,active antagonist,3.444340053,-90.66983856,inconclusive antagonist,,,SIGMA
144209811,NCGC00260161-01,2,74,,,,active antagonist,active antagonist,3.71186132,-92.00863083,active antagonist,11.73793613,-91.84424699,Cytec
144209825,NCGC00260175-01,2,74,,,,active antagonist,active antagonist,4.501596288,-97.10665364,active antagonist,31.86886115,-107.9025504,Io-li-tec
144209827,NCGC00260177-01,2,74,,,,active antagonist,active antagonist,1.721141459,-77.30065432,active antagonist,57.65229046,-95.49939306,Io-li-tec
144209836,NCGC00260186-01,2,74,,,,active antagonist,active antagonist,2.924465262,-87.7344359,active antagonist,54.03972546,-113.0321588,Io-li-tec
144209846,NCGC00260196-01,2,74,,,,active antagonist,active antagonist,2.534006001,-84.22034706,active antagonist,25.34006001,-96.96971779,Io-li-tec
144213861,NCGC00257372-01,2,74,,,,active antagonist,active antagonist,4.1647769,-95.99081217,active antagonist,13.17018095,-96.44489926,LightBiologicals
170464977,NCGC00263548-01,2,74,,,,active antagonist,active antagonist,1.615352875,-76.19598047,inactive,,0,Tocris
170465390,NCGC00181129-06,2,74,,,,active antagonist,active antagonist,1.994959461,-78.42585599,active antagonist,25.60161775,-26.7162878,Selleck
170466500,NCGC00166288-02,2,74,,,,active antagonist,active antagonist,3.021874292,-85.58498257,active antagonist,12.99001723,-73.79818871,SIGMA
170466763,NCGC00253704-01,2,74,,,,active antagonist,active antagonist,3.101706799,-90.7322602,active antagonist,16.78549199,-103.2263171,GVK
144207582,NCGC00257938-01,2,73,,,,active antagonist,active antagonist,4.754895448,-93.70255407,active antagonist,38.64924121,-62.07337935,SIGMA
144208007,NCGC00258363-01,2,73,,,,active antagonist,active antagonist,4.710999542,-92.32323728,active antagonist,16.71525714,-98.44005073,Io-li-tec
144208602,NCGC00258955-01,2,73,,,,active antagonist,active antagonist,4.288133268,-91.08634651,inconclusive antagonist,53.9843994,-107.2882524,SigmaAldrich
144208747,NCGC00259098-01,2,73,,,,active antagonist,active antagonist,3.736198769,-84.11573594,active antagonist,61.53137782,-88.98579439,TCI
144208795,NCGC00259146-01,2,73,,,,active antagonist,active antagonist,5.025224321,-92.52555069,active antagonist,27.19498265,-92.6599053,SigmaAldrich
144209368,NCGC00259719-01,2,73,,,,active antagonist,active antagonist,5.182082908,-96.94797201,inconclusive agonist,22.27602466,72.0002484,SIGMA
144209736,NCGC00260087-01,2,73,,,,active antagonist,active antagonist,4.407052072,-94.35370523,inconclusive antagonist,62.25126513,-129.1341964,SIGMA
144209993,NCGC00260341-01,2,73,,,,active antagonist,active antagonist,6.169049088,-103.9876028,inconclusive antagonist,27.55613007,-103.2695491,TCI
144210899,NCGC00254359-01,2,73,,,,active antagonist,active antagonist,0.712730058,-56.45579043,inconclusive antagonist,,,LightBiologicals
144211122,NCGC00254709-01,2,73,,,,active antagonist,active antagonist,3.063785871,-80.89880968,active antagonist,56.61416092,-87.47545913,ChemService
144212178,NCGC00255501-01,2,73,,,,active antagonist,active antagonist,4.85577337,-92.2099245,active antagonist,17.90296963,-75.53146279,LightBiologicals
144212568,NCGC00255374-01,2,73,,,,active antagonist,active antagonist,2.342026161,-74.22818922,inactive,,0,LightBiologicals
144212847,NCGC00256855-01,2,73,,,,active antagonist,active antagonist,5.882903737,-103.9806224,inconclusive antagonist,27.30602032,-114.8770496,LightBiologicals
144213119,NCGC00256396-01,2,73,,,,active antagonist,active antagonist,5.448267331,-99.05219016,active antagonist,24.33651622,-71.81303901,LightBiologicals
144213953,NCGC00257402-01,2,73,,,,active antagonist,active antagonist,2.010928837,-74.97910195,inconclusive antagonist,,,SIGMA
170465330,NCGC00263568-01,2,73,,,,active antagonist,active antagonist,2.238381331,-74.80654471,inactive,,0,Bosche
170465500,NCGC00091023-06,2,73,,,,active antagonist,active antagonist,3.616324628,-86.08243335,inconclusive antagonist,26.60321198,-71.22163292,Vitas
144208447,NCGC00258801-01,2,72,,,,active antagonist,active antagonist,5.753658508,-90.17342517,inconclusive antagonist,73.83757347,-66.40044339,SigmaAldrich
144208876,NCGC00259227-01,2,72,,,,active antagonist,active antagonist,5.888886866,-96.38804777,active antagonist,36.45019676,-66.89481068,SIGMA
144209154,NCGC00259505-01,2,72,,,,active antagonist,active antagonist,5.747886092,-93.23580957,active antagonist,27.7230805,-90.82172698,SigmaAldrich
144209196,NCGC00259547-01,2,72,,,,active antagonist,active antagonist,3.745860149,-82.44023546,inconclusive agonist,,20.88382432,SIGMA
144209399,NCGC00259750-01,2,72,,,,active antagonist,active antagonist,4.826160002,-84.41102601,inactive,,0,Acros
144209910,NCGC00260260-01,2,72,,,,active antagonist,active antagonist,5.275151781,-92.62012006,active antagonist,19.44919484,-108.2899697,Io-li-tec
144210588,NCGC00254157-01,2,72,,,,active antagonist,active antagonist,1.714136647,-64.70617101,active antagonist,18.15705629,-47.65988834,USP
144211394,NCGC00254978-01,2,72,,,,active antagonist,active antagonist,6.113056489,-95.74240975,inconclusive antagonist,21.68994291,-104.3528463,SIGMA
144211461,NCGC00255042-01,2,72,,,,active antagonist,active antagonist,7.742863926,-99.45429393,active antagonist,47.01483973,-89.49259428,ChemService
144213236,NCGC00256573-01,2,72,,,,active antagonist,active antagonist,5.448267331,-89.40250417,active antagonist,30.63785871,-68.39182831,LightBiologicals
170464949,NCGC00274068-01,2,72,,,,active antagonist,active antagonist,1.678549199,-66.80455682,inactive,,0,Selleck
170465892,NCGC00262959-01,2,72,,,,active antagonist,active antagonist,2.560161775,-69.57908797,inconclusive antagonist,,,GVK
170466068,NCGC00253770-01,2,72,,,,active antagonist,active antagonist,0.573148828,-49.79340638,inactive,,0,GVK
251919707,NCGC00357013-01,2,72,,,,active antagonist,active antagonist,4.789347994,-89.6444383,inactive,,0,LightBiologicals
144206325,NCGC00181290-01,2,71,,,,active antagonist,active antagonist,7.791135222,-96.47287486,inactive,,0,ACC
144207790,NCGC00258146-01,2,71,,,,active antagonist,active antagonist,8.029503838,-92.5211907,inactive,,0,Io-li-tec
144209244,NCGC00259595-01,2,71,,,,active antagonist,active antagonist,3.715636419,-71.8792653,active antagonist,45.88807897,-86.97579805,SIGMA
144209327,NCGC00259678-01,2,71,,,,active antagonist,active antagonist,5.6786926,-86.90199652,active antagonist,17.28151028,-80.61581824,SIGMA
144209400,NCGC00259751-01,2,71,,,,active antagonist,active antagonist,6.488450145,-90.18996209,inconclusive antagonist,,,SigmaAldrich
144209799,NCGC00260149-01,2,71,,,,active antagonist,active antagonist,10.05734233,-107.0360485,inactive,,0,Sensient
144210313,NCGC00260660-01,2,71,,,,active antagonist,active antagonist,1.01921876,-53.47692818,inactive,,0,NTP-MRI Repository
144210534,NCGC00253948-01,2,71,,,,active antagonist,active antagonist,4.172922288,-73.40785062,active antagonist,18.63975918,-60.70466391,Pharma
144210958,NCGC00254549-01,2,71,,,,active antagonist,active antagonist,5.243143474,-82.89029247,active antagonist,43.27712571,-80.98559204,Acros
144211556,NCGC00255864-01,2,71,,,,active antagonist,active antagonist,4.49702265,-77.01053057,active antagonist,61.13056489,-106.1194632,SIGMA
144212067,NCGC00255264-01,2,71,,,,active antagonist,active antagonist,2.577854547,-67.98064417,active antagonist,21.68994291,-56.6087114,Sigma DiscoveryCPR
144213215,NCGC00256402-01,2,71,,,,active antagonist,active antagonist,6.352213333,-90.14798382,active antagonist,24.33651622,-86.50435512,Acros
144213367,NCGC00257022-01,2,71,,,,active antagonist,active antagonist,7.906034879,-98.32314644,inactive,,0,LightBiologicals
144213428,NCGC00257123-01,2,71,,,,active antagonist,active antagonist,5.661416092,-86.2556053,inconclusive agonist,61.13056489,63.51665511,SIGMA
170464710,NCGC00167465-02,2,71,,,,active antagonist,active antagonist,11.43582258,-109.6138526,inactive,,0,"Prestwick Chemical, Inc."
170465289,NCGC00164631-05,2,71,,,,active antagonist,active antagonist,1.333319022,-54.71910782,inconclusive antagonist,29.84929478,-52.1975073,Sequoia
170465310,NCGC00094748-07,2,71,,,,active antagonist,active antagonist,8.412674293,-98.49472627,inconclusive,,,Microsource
170465687,NCGC00015810-12,2,71,,,,active antagonist,active antagonist,3.757803573,-72.82220191,active antagonist,7.215516248,-24.42911029,Vitas
170465714,NCGC00164283-07,2,71,,,,active antagonist,active antagonist,8.095942388,-92.52796155,active antagonist,29.84929478,-77.05441706,Microsource
170466499,NCGC00160416-02,2,71,,,,active antagonist,active antagonist,3.161797669,-69.62982816,inactive,,0,Vitas
170466575,NCGC00263542-01,2,71,,,,active antagonist,active antagonist,6.943856576,-93.30574697,inactive,,0,Tocris
144207788,NCGC00258144-01,2,70,,,,active antagonist,active antagonist,5.503720289,-76.51833435,active antagonist,30.94969361,-56.43798696,Io-li-tec
144207791,NCGC00258147-01,2,70,,,,active antagonist,active antagonist,7.040715066,-85.86907179,inconclusive agonist,,,Io-li-tec
144208429,NCGC00258783-01,2,70,,,,active antagonist,active antagonist,7.134549312,-82.64814987,inactive,,0,RTI
144208875,NCGC00259226-01,2,70,,,,active antagonist,active antagonist,6.370060777,-79.04325403,inconclusive antagonist,,,SigmaAldrich
144209739,NCGC00260090-01,2,70,,,,active antagonist,active antagonist,12.25919689,-105.4154519,inconclusive,,,SigmaAldrich
144210191,NCGC00260538-01,2,70,,,,active antagonist,active antagonist,10.36577092,-99.11092836,active agonist,51.95192054,78.21234102,SigmaAldrich
144210718,NCGC00254418-01,2,70,,,,active antagonist,active antagonist,2.94843625,-64.19211841,active antagonist,20.47662651,-44.61197792,Toronto Research
144210739,NCGC00254442-01,2,70,,,,active antagonist,active antagonist,6.113056489,-75.89078827,inconclusive antagonist,,,LightBiologicals
144211225,NCGC00254812-01,2,70,,,,active antagonist,active antagonist,9.011033329,-90.41916632,inconclusive antagonist,,,SIGMA
144211613,NCGC00257543-01,2,70,,,,active antagonist,active antagonist,5.045742403,-76.91257931,inconclusive antagonist,54.48267331,-115.392931,Enamine
144212384,NCGC00255707-01,2,70,,,,active antagonist,active antagonist,7.688056494,-88.69059467,active antagonist,61.06840343,-106.6977699,Acros
144212433,NCGC00255972-01,2,70,,,,active antagonist,active antagonist,7.40613701,-84.6480521,inconclusive,,,Acros
144212488,NCGC00255380-01,2,70,,,,active antagonist,active antagonist,7.996962786,-90.75146518,inconclusive antagonist,,,Acros
144212534,NCGC00255514-01,2,70,,,,active antagonist,active antagonist,5.661416092,-77.60295095,active antagonist,20.08746231,-83.24262732,LightBiologicals
144212586,NCGC00255265-01,2,70,,,,active antagonist,active antagonist,9.028691106,-92.92739887,inactive,,0,LightBiologicals
144213825,NCGC00257389-01,2,70,,,,active antagonist,active antagonist,8.3098224,-91.6827201,inconclusive antagonist,,,Roche
170465113,NCGC00159458-05,2,70,,,,active antagonist,active antagonist,2.984929478,-61.20676589,active antagonist,10.59092945,-51.06684934,Prestwick
170465646,NCGC00166309-02,2,70,,,,active antagonist,active antagonist,5.308038632,-79.04098979,inactive,,0,SIGMA
170466045,NCGC00261967-01,2,70,,,,active antagonist,active antagonist,6.682424721,-80.61202762,inactive,,0,GVK
170466067,NCGC00166120-02,2,70,,,,active antagonist,active antagonist,6.682424721,-82.31434343,active antagonist,22.38381331,-69.03094714,SIGMA
170466094,NCGC00177971-03,2,70,,,,active antagonist,active antagonist,3.980467433,-66.52614964,inactive,,0,Microsource
170466204,NCGC00161634-06,2,70,,,,active antagonist,active antagonist,0.473079441,-40.87000875,inactive,,0,Microsource
170466326,NCGC00253624-01,2,70,,,,active antagonist,active antagonist,7.497803856,-82.00362559,inactive,,0,GVK
170466800,NCGC00016423-15,2,70,,,,active antagonist,active antagonist,7.791135222,-89.17078039,active antagonist,28.17955139,-107.9482859,Microsource
144207617,NCGC00257973-01,2,69,,,,active antagonist,active antagonist,11.39947609,-93.93548689,active antagonist,37.45860149,-91.72420246,Sensient
144207636,NCGC00257992-01,2,69,,,,active antagonist,active antagonist,11.33048134,-88.2654175,active antagonist,54.64893389,-102.2922472,Sensient
144208378,NCGC00258732-01,2,69,,,,active antagonist,active antagonist,11.4914372,-88.78248207,inconclusive antagonist,,,SIGMA
144208465,NCGC00258819-01,2,69,,,,active antagonist,active antagonist,8.918018789,-86.39791018,inconclusive antagonist,,,SIGMA
144209225,NCGC00259576-01,2,69,,,,active antagonist,active antagonist,10.85966844,-87.26476899,active antagonist,58.76921639,-81.5697966,Sensient
144209430,NCGC00259781-01,2,69,,,,active antagonist,active antagonist,10.07781877,-83.50812755,inactive,,0,Sensient
144209753,NCGC00260104-01,2,69,,,,active antagonist,active antagonist,6.613157058,-77.56937902,inconclusive antagonist,29.5398875,-67.56576013,SigmaAldrich
144209830,NCGC00260180-01,2,69,,,,active antagonist,active antagonist,6.661185975,-75.30199388,active antagonist,50.91958929,-32.50233561,Io-li-tec
144210755,NCGC00254381-01,2,69,,,,active antagonist,active antagonist,12.67433188,-95.69049867,active antagonist,61.13056489,-117.3423272,Pfizer
144210759,NCGC00254497-01,2,69,,,,active antagonist,active antagonist,17.22893407,-111.2168603,active antagonist,64.75277858,-93.23557119,Pfizer
144210806,NCGC00254321-01,2,69,,,,active antagonist,active antagonist,7.40613701,-74.43450172,inconclusive agonist,,,LightBiologicals
144211170,NCGC00254756-01,2,69,,,,active antagonist,active antagonist,11.29601018,-91.50179792,inconclusive antagonist,61.13056489,-94.65197302,SIGMA
144211410,NCGC00254993-01,2,69,,,,active antagonist,active antagonist,7.996962786,-79.31350292,inactive,,0,SIGMA
144211849,NCGC00255171-01,2,69,,,,active antagonist,active antagonist,7.996962786,-81.76503993,inconclusive antagonist,64.75277858,-62.2798483,LightBiologicals
144211882,NCGC00255247-01,2,69,,,,active antagonist,active antagonist,7.40613701,-75.07300775,inconclusive antagonist,36.41316332,-61.48744278,LightBiologicals
144212107,NCGC00256122-01,2,69,,,,active antagonist,active antagonist,10.06757967,-86.05194638,inactive,,0,Sigma DiscoveryCPR
144213330,NCGC00256543-01,2,69,,,,active antagonist,active antagonist,8.3098224,-80.8150205,active antagonist,27.30602032,-56.47948769,LightBiologicals
144213691,NCGC00257238-01,2,69,,,,active antagonist,active antagonist,14.60554769,-103.4504661,inactive,,0,NCGCChem
170464674,NCGC00164617-04,2,69,,,,active antagonist,active antagonist,8.095942388,-79.32082201,active antagonist,29.84929478,-97.05841634,Tocris
170464695,NCGC00179273-03,2,69,,,,active antagonist,active antagonist,14.39684765,-106.6590844,inactive,,0,"Prestwick Chemical, Inc."
170464800,NCGC00016528-05,2,69,,,,active antagonist,active antagonist,5.622559694,-67.21156542,inactive,,0,"Prestwick Chemical, Inc."
