SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
95	STAC	-1.917	-0.453	-0.504	-0.725	-0.698
96	RTKN	0.45	1.651	0.849	1.161	1.29
97		-1.019	-0.319	-0.066	-0.326	-0.143
98		-1.69	-0.01	0.031	-0.383	-0.36
99		-1.334	-0.12	-0.137	-0.499	-0.411
100		-0.849	0.17	-0.079	-0.105	-0.071
101		-0.219	-0.088	0.051	-0.049	0.166
102		-0.929	0.506	-0.179	-0.256	-0.196
103	FLJ10563	-0.434	0.452	0.202	-0.201	0.632
104		-0.347	0.184	-0.596	-0.085	-0.068
105	HIC2	-0.424	0.041	-0.045	-0.218	1.373
106	LOC51097	-0.244	-0.003	-0.341	-0.319	-0.427
107	EXO70	-0.057	0.126	-0.693	-0.192	-0.017
108	MGC5627	0.193	0.357	-0.524	-0.293	-0.424
109	BEX1	-1.48	0.181	-0.539	-0.405	-0.327
110		-0.855	0.41	-0.207	-0.235	-0.084
111		-1.289	0.755	0.035	0.199	-0.182
112		-0.994	0.645	-0.124	-0.143	-0.482
113		-1.245		0.023	-0.016	0.147
114		-1.522	-1.07	-0.129	-0.416	-0.298
115		-0.358	0.4	-0.208	0.312	0.435
116		-0.929	0.972	0.184	0.264	0.45
117		-1.218	0.047	-0.161	-0.043	-0.065
118		1.04	0.593	0.702	-0.102	0.215
119	DKFZP434H132	-0.483	-0.112	-0.281	0.351	0.194
120		-0.888	0.038	-0.63	-0.582	-0.484
121		-1.143	-0.377	-0.224	-0.205	-0.85
122		-0.747	0.005	-0.212	-0.392	-0.382
123	RC3	-2.811	-0.227	0.027	-0.329	-0.45
124	AMACR	-0.594	0.2	-0.247	-0.228	0.164
125		-1.037	0.081	0.072	-0.571	-0.263
126	MINA53	0.111	0.371	-0.034	-0.039	0.002
127	APBB2	0.556	0.794	0.31	0.043	0.414
128	WDR9	-0.438	0.131	-0.331	-0.403	-0.282
129		-1.499	0.404	0.028	-0.066	-0.248
130	EZF-2	-0.277	0.038	-0.875	-0.22	0.06
131		-1.213	0.34	-0.211	-0.484	-0.21
132		-1.095	0.003	-0.235	-0.474	-0.408
133		-0.584	0.349	0.186	-0.1	0.091
134		-0.793	0.457	-0.103	-0.261	-0.248
135		-0.746	0.918	0.371	0.1	0.505
136	FLJ11806	0.199	0.411	0.013	-0.178	-0.303
137		-0.768	-0.03	0.343	-0.121	0.093
138		-0.615	0.626	0.313	0.151	0.083
139		-1.116	0.156	-0.296	-0.504	-0.492
140		-1.418	1.287	0.183	0.122	0.076
141		-1.29	-0.396	0.175	-0.408	0.459
142		-1.055	0.139	-0.14	0.108	0.066
143		-1.557	-0.233	-0.476	-0.778	-0.431
144	BHMT2	-1.793	-0.527	-0.335	-0.443	-0.216
145		-0.677	0.07	-0.154	-0.219	-0.356
146		-1.353	0.263	0.597	0.597	0.514
147	MGC2734	-0.007	0.088	-0.074	0.044	-0.181
148		-1.135	0.099	-0.127	-0.256	-0.261
149		-0.057	0.688	0.492	0.275	0.158
150		-1.624	0.122	0.365	1.258	0.415
151	FLJ37953	-0.071	0.24	0.169	0.366	0.177
152		-1.414	0.156	0.053	-0.279	-0.201
153		-0.998	0.219	0.083	-0.304	-0.174
154		-2.172	0.627	-0.09	-0.393	-0.415
155		-2.416	0.149	-0.13	-0.731	-0.706
156		-0.712	0.304	-0.174	-0.174	-0.013
157	TYRP1	-1.273	0.06	-0.224	-0.344	-0.418
158	PROS1	-1.699	0.116	-0.141	-0.406	-0.541
159	ICA1	-0.071	0.034	-0.298	-0.073	0.029
160	OGT	0.115	0.389	0.238	0.46	0.476
161	B4GALT1	-0.513	0.03	-0.189	-0.168	0.019
162	ZNF226	-0.049	0.379	-0.127	-0.149	-0.056
163	NEURL	-1.391	0.039	-0.244	-0.509	-0.302
164	RFXANK	-0.06	0.064	-0.612	-0.181	-0.227
165	GK001	-0.075	0.35	-0.408	0.003	0.101
166		-1.767	0.052	-0.333	-0.459	-0.554
167	MDS029	-0.388	-0.248	-0.582	-0.706	-0.875
168	FLJ14360	-0.707	0.225	-0.545	-0.284	-0.066
169	FLJ90524	-0.489	0.096	-0.451	-0.06	0.39
170	HSA243396	-0.893	-0.501	-0.402	-0.475	-0.353
171	UBE2E3	-0.319	0.05	-0.321	-0.289	-0.352
172	LOC57826	-0.19	0.332	0.162	0.364	0.568
173	HT002	-0.178	0.172	-0.362	0.232	0.12
174	ZNFN1A1	-0.738	-0.115	-0.355	-0.136	-0.25
175	CDC42EP3	-0.923	-0.104	-0.401	-0.254	-0.518
176	RGS12	-0.123	-0.059	-0.222	0.205	0.011
177		-0.693	0.126	0.267	-0.237	0.039
178		-0.173	0.128	0.002	0.227	0.142
179	FLJ20758	-0.367	-0.024	-0.383	-0.291	-0.33
180		-0.154	0.03	-0.381	-0.096	-0.213
181		-1.469	0.399	-0.047	-0.398	-0.244
182	SRP46	0.191	0.306	-0.135	0.021	-0.282
183	SCARA3	-0.966	0.066	-0.289	-0.378	-0.538
184	ChGn	-2.085	-0.048	-0.38	-0.436	-0.549
185		-1.512	0.342	-0.412	-0.501	-0.41
186	MURR1	-0.229	0.126	-0.386	-0.323	-0.547
187		-0.475	0.455	-0.343	0.132	0.074
188		-1.003	0.023	-0.434	-1.079	-0.812
189		-1.65	0.021	-0.326	-0.361	-0.276
190	KIAA1694	-0.645	0.533	-0.009	0.208	0.5
191	SERPINA1	0.059	-0.26	-0.386	-0.652	-0.491
192		-1.25	0.661	-0.116	-0.325	-0.171
193	LOC91689	-0.201	0.086	-0.598	-0.259	-0.495
194	RTN4R	-0.446	-0.003	-0.737	-0.1	-0.296
195		-0.991	0.258	-0.417	-0.284	-0.459
196	FLJ20507	-0.293	0.145	0.009	-0.007	0.066
197	HSPC157	-0.953	-0.025	-0.42	-0.179	0.056
198	KIAA1501	-0.912	0.583	-0.004	0.21	0.694
199	FLJ11184	-0.135	0.3	-0.11	-0.394	-0.532
200		-0.249	-0.175	-0.398	-0.347	-0.249
201		-0.828	0.115	0.1	-0.299	-0.282
202	ARL6IP4	-0.653	0.11	-0.3	-0.147	-0.148
203		-1.122	0.384	0.194	-0.178	-0.039
204	PTPN1	-1.321	1.502	0.703	0.271	0.393
205	CTNNBIP1	-0.804	0.131	-0.486	-0.596	-0.294
206	AMD1	-0.212	-0.048	-0.232	-0.685	-0.708
207		-0.813	0.216	-0.096	-0.573	-0.33
208		-1.096	0.72	0.366	0.277	0.291
209		-1.197	0.035	0.162	-0.388	-0.308
210		-1.406	-0.013	-0.511	-0.521	-0.522
211	KIAA0831	-0.356	0.206	-0.176	-0.184	-0.113
212	GOSR2	-0.427	0.741	0.275	0.282	0.303
213	PLIN	-1.723	-0.032	-0.076	-0.285	-0.338
214	C20orf11	-0.049	0.281	0.029	-0.043	-0.151
215	MGC12981	-0.243	0.133	-0.703	-0.598	-0.506
216		-0.86	-0.281	-0.654	-0.211	-0.038
217	CRTAP	-1.437	0.147	-0.29	-0.858	-0.96
218	FBXO9	0.187	0.709	-0.108	0.026	0.28
219	TSFM	-1.298	0.168	-0.417	-0.713	-0.347
220		-0.921	-0.168	-0.517	-1.425	-1.073
221	FGF18	-0.386	0.529	-0.338	-1.249	-1.061
222	RAI2	-1.179	0.244	0.055	-0.214	0.044
223	SYTL2	-0.506	0.399	-0.447	-0.425	-0.17
224		-1.619	-0.172	-0.178	-0.572	-0.457
225		-0.647	-0.035	-0.327	-0.381	-0.126
226		-0.795	0.194	0.092	0.034	-0.101
227		-0.2	0.259	0.201	0.151	0.219
228		-1.26	-0.024	-0.064	-0.268	0.011
229		-0.287	0.003	-0.305	-0.513	-0.549
230	SNAI2	-0.907	0.094	-0.079	-0.113	0.193
231		-1.241	-0.069	-0.417	-0.685	-0.399
232	FLJ20036	-0.188	0.347	1.348	0.927	0.182
233	FLJ10539	-0.249	0.019	-0.058	-0.283	-0.35
234	POP3	-1.553	0.218	-0.007	-0.214	-0.352
235	FLJ22729	-0.38	-0.139	-0.33	-0.243	-0.488
236	SPTA1	-1.025	0.188	-0.264	-0.66	-0.477
237		-0.794	0.088	-0.355	-0.415	-0.524
238	CYGB	-0.71	0.181	-0.322	-0.246	-0.169
239		-0.306	-0.26	-0.267	-0.362	-0.438
240	ARIH2	-0.543	0.318	0.024	-0.247	-0.329
241		-0.904	0.108	0.422	0.625	0.116
242	PP1201	0.161	0.375	-0.477	0.611	1.556
243		-0.345	0.22	0.423	0.513	0.565
244	DNAJB6	-0.079	0.158	0.289	0.451	0.141
245		-0.588	-0.057	-0.047	0.539	0.336
246		-0.65	-0.058	-0.341	-0.193	0.089
247	KIAA0963	-0.521	0.023	-0.204	0.576	0.759
248		-1.898	-0.044	-0.151	-0.453	-0.283
249		-0.643	0.066	-0.113	-0.066	0.047
250	TRAP240	0.232	0.937	0.97	0.954	0.886
251	FLJ13386	0.049	0.254	-0.292	-0.362	-0.444
252		-1.382	0.136	-0.373	-0.346	-0.397
253	RBP3	-0.044	-0.01	-0.112	0.205	0.346
254	RARG	-0.351	0.176	-0.309	0.184	0.136
255	RB1	0.115	0.205	-0.062	0.231	0.054
256	RGS1	-1.082	0.214	-0.205	0.368	-0.612
257	RCV1	-0.665	0.084	-0.049	-0.224	-0.043
258	RAP1GA1	-0.559	0.351	-0.085	-0.129	0.134
259	PRKCQ	-0.914	0.08	-0.311	-0.347	-0.072
260	EPB41	-0.348	-0.162	-0.338	-0.332	-0.125
261	USP8	-0.166	0.024	-0.085	-0.088	-0.159
262	KCNA1	-1.285	0.276	-0.004	-0.063	-0.141
263	DP1	0.082	0.022	-0.178	-0.008	-0.01
264	PIK4CA	-1.203	0.925	0.295	0.024	0.489
265	CASP6	-0.032	0.05	-0.325	-0.299	-0.306
266	CDKN1B	-0.274	-0.072	0.114	0.386	0.146
267	HMGCS2	-1.146	-0.258	-0.29	-0.262	-0.171
268	KIAA1564	0.036	0.031	-0.23	-0.168	-0.151
269		-0.806	0.24	0.032	0.021	-0.029
270	HSU79303	-0.58	0.206	-0.061	0.011	0.097
271	ADORA2A	-0.718	0.014	-0.109	0.081	-0.121
272	ACK1	-0.395	-0.202	-0.479	-0.46	-0.652
273	VBP1	-0.199	-0.005	-0.203	-0.244	-0.516
274	TLR2	-0.996	-0.062	-0.283	-0.336	-0.07
275	TANK	-0.315	0.243	0.244	0.22	0.014
276	MAP3K7IP1	-0.319	0.042	-0.987	-0.571	-0.286
277	CCIN	-1.256	0.1	-0.105	-0.179	-0.186
278	ABH	-0.433	0.117	0.022	-0.094	-0.131
279	PIK3R4	-0.093	0.67	0.324	0.288	0.4
280	GALNT3	-0.192	0.247	0.721	1.002	0.487
281	DDX21	0.105	0.156	0.029	0.012	-0.391
282	SEC23B	-0.056	-0.108	-0.048	0.177	-0.119
283	M17S2	-0.589	-0.011	-0.154	0.348	0.127
284	NFIL3	-0.448	-0.042	0.558	1.137	0.739
285	BCAP31	0.029	-0.054	-0.221	-0.003	-0.154
286	GNAZ	-0.395	0.548	-0.107	-0.02	0.102
287	GNAI2	0.092	0.398	-0.33	0.498	0.383
288	GZMK	-1.551	0.302	-0.272	-0.399	-0.574
289		-1.293	-0.056	-0.557	-0.382	-0.467
290	HGD	-0.976	0.038	-0.117	-0.066	-0.277
291	TAF6	-0.093	0.66	-0.116	0.386	0.385
292	FCGBP	-0.623	0.381	-0.18	-0.086	-0.093
293	ISG20	-0.74	-0.251	-0.317	0.827	1.1
294	TFDP2	-0.092	0.189	-0.028	0.022	0.03
295	RFC4	-0.252	0.047	-0.327	-0.348	-0.845
296	FLJ10193	-0.616	0.788	0.197	0.407	0.216
297	RENT2	0.233	0.367	0.04	0.109	-0.124
298	GAS41	-0.56	0.025	-0.688	-0.473	-0.794
299	FUSIP1	-0.048	0.88	0.058	-0.122	-0.112
300		-0.215	0.113	-0.297	-0.213	-0.28
301	KIAA1726	-1.736	0.02	-0.017	-0.036	-0.227
302	MSH5	-1.513	0.089	-0.563	-0.478	-0.151
303		-1.803	0.194	-0.017	-0.221	0.181
304		-1.671	0.271	0.156	-0.024	0.351
305	FLJ36525	-0.883	0.744	0.183	0.77	1.102
306	NME5	-2.025	-0.226	-0.478	-0.696	-0.14
307	DNAJC8	0.016	-0.076	-0.159	-0.196	-0.428
308	PLXNB3	-0.329	0.627	-0.087	0.92	1.452
309	TCL6	-2.128	-0.132	-0.172	-0.688	-0.025
310	WNT2	-0.852	0.253	-0.121	-0.448	-0.433
311	TERF1	-1.83	-0.178	-0.985	-0.52	0.26
312	KIAA0226	-1.968	-0.208	-0.124	-0.349	-0.175
313	THO2	0.145	0.092	-0.067	0.037	-0.119
314		-1.367	0.276	-0.316	-0.416	-0.296
315	HSA243396	-1.108	0.162	-0.145	-0.329	-1.012
316		-1.244	0.194	0.096	-0.084	-0.021
317	GDAP1	-0.303	0.455	0.392	0.476	0.304
318		-0.79	0.195	-0.093	-0.068	-0.111
319		-2.853	0.061	-0.282	-0.703	0.148
320		-1.612	-0.631	-0.31	-0.679	0.05
321	FACL3	0.091	-0.209	-0.209	-0.337	-0.249
322	PTPRD	-2.107	-0.121	-0.255	-0.655	0.112
323	KIAA1705	-1.424	-0.105	-0.168	-0.785	-0.422
324		-1.471	-0.634	-0.325	-0.715	-0.836
325	ZNF135	-0.799	-0.029	-0.405	-0.356	-0.481
326	UGT2B4	-0.923	0.092	-0.605	-0.262	-0.444
327	USP1	-0.03	0.144	-0.073	-0.049	-0.139
328	MGC9344	0.347	0.399	0.309	0.588	0.386
329	SNRPE	0.046	-0.004	-0.244	-0.293	-0.796
330	SPAG11	-0.199	0.068	-0.222	-0.22	-0.148
331	RPL15	0.346	0.328	0.027	0.079	-0.148
332	ZW10	-0.15	0.524	0.043	0.092	-0.304
333	ARHGAP5	-0.384	0.213	-0.465	-0.358	-0.351
334	MDFI	-0.06	-0.007	-0.855	-0.193	-0.094
335	SCARB2	-0.148	0.016	-0.227	-0.219	0.007
336	KIAA0354	-0.748	-0.023	-0.338	-0.26	-0.141
337	BBS2	0.007	0.306	-0.103	-0.096	0.01
338	MGC23937	-0.115	0.225	-0.034	0.334	0.392
339	HBS1L	0.392	0.455	0.217	0.251	0.058
340	POLR3K	-0.206	-0.18	-0.562	-0.825	-0.995
341	ABS	-0.082	0.046	-0.211	-0.067	-0.029
342	LOC152399	0.008	-0.239	-0.027	0.605	0.027
343	FLJ13448	-0.112	0.393	0.301	0.594	0.319
344	TOM1	-0.316	-0.019	-0.911	-0.287	0.08
345		-0.105	0.303	0.021	0.37	0.149
346		-0.22	0.025	-1.059	-0.661	-0.72
347		-0.388	0.169	-0.377	-0.522	-0.557
348		-0.809	-0.311	-0.535	-1.072	-0.425
349	MGC11266	-0.235	-0.029	-0.314	-0.116	-0.184
350	TAZ	-0.485	0.292	0.501	0.773	0.539
351	C15orf15	-0.33	0.021	-0.01	0.151	-0.213
352		0.058	0.13	-0.499	0.034	-0.327
353	MRPL2	-0.03	0.274	-0.346	-0.143	-0.445
354	RPS27L	0.208	-0.166	-0.267	-0.438	-0.22
355	FLJ32954	-0.742	-0.238	-0.285	-0.139	-0.284
356		-0.692	-0.181	-0.402	-0.663	-0.351
357		-0.967	-0.102	-0.241	-0.126	-0.198
358		-0.62	0.326	-0.323	-0.239	-0.129
359		-0.811	0.132	-0.28	-0.475	-0.208
360		-0.552	-0.072	-0.203	-0.277	-0.195
361		-0.814	0.194	-0.232	-0.608	-0.194
362	MRPL46	-0.285	-0.158	-0.556	-0.514	-0.735
363		0.27	0.482	0.025	-0.185	0.42
364		-0.638	0.152	-0.105	-0.233	-0.015
365	C8orf2	0.017	0.343	0.015	-0.088	0.14
366	MGC16733	-0.068	0.174	0.007	0.015	0.028
367	FLJ90586	-0.105	0.047	-0.775	-0.382	-0.564
368		-1.049	0.01	-0.169	-0.229	-0.307
369		0.022	0.095	-0.409	-0.187	-0.076
370	PGCP	-0.846	0.103	-0.103	-0.815	-0.259
371		-0.637	0.165	-0.175	-0.011	-0.065
372	KIAA0663	0.444	0.699	0.362	0.557	0.636
373		-1.247	0.404	0.005	0.254	-0.415
374		-2.415	-1.212	-1.214	-1.048	-1.578
375		-1.401	-0.321	-0.19	-0.635	-0.602
376		-0.628	0.302	0.007	-0.001	-0.415
377		-1.602	0.352	-0.044	0.382	-0.043
378		-2.243	-0.587	-0.501	-1.035	-0.822
379		-0.547	0.094	-0.046	-0.12	-0.211
380		-1.498	-0.151	0.057	-0.819	-0.662
381		-2.59	-0.365	-0.406	-0.886	-0.964
382		-1.012	0.035	-0.173	-0.368	-0.312
383		-0.126	0.177	0.338	0.766	0.569
384	FLJ21613	-0.684	-0.08	-0.331	-0.338	-0.344
385	KIAA1474	-2.499	-0.554	-0.566	-1.207	-1.08
386	NYD-SP15	-2.028	-0.191	-0.22	-0.199	-0.65
387	DDX5	-1.1	-0.073	0.295	-0.086	-0.175
388	HOOK3	-0.143	0.73	0.648	1.21	1.171
389		-1.459	-0.038	-0.197	-0.366	-0.261
390		-1.054	0.163	-0.065	-0.174	-0.121
391	REV1L	-0.165	0.368	0.14	-0.096	-0.085
392	MMP24	-0.301	0.388	-0.155	0.233	0.287
393		-0.807	-0.072	-0.109	-0.473	-0.105
394		-1.234	-0.233	0.09	-0.758	-0.059
395	SLC25A21	-0.811	0.188	-0.378	-0.288	-0.26
396		-1.477	-0.266	-0.216	-0.909	-0.575
397	CBARA1	-0.407	-0.094	-0.192	-0.054	-0.193
398	KIAA0892	-0.11	0.132	-0.538	-0.007	0.242
399	FCGR2B	-0.311	0.238	-0.34	-0.428	-0.066
400		-0.892	-0.285	0.542	0.25	0.117
401	DKFZp761B128	-0.252	-0.037	-0.274	-0.235	-0.424
402		-2.039	-0.325	-0.482	-1.001	-0.725
403		-0.726	-0.117	-0.38	-0.108	-0.162
404	UNC84A	-1.035	0.764	0.057	-0.006	0.519
405	FLJ11210	-0.036	0.205	0.077	-0.097	0.241
406		-1.809	-0.219	-0.402	-0.393	-0.556
407		-0.873	-0.154	-0.361	-0.383	-0.371
408	ZFP95	-0.401	0.125	0.138	0.234	-0.08
409		-1.883	0.317	-0.284	-0.274	-0.279
410		-1.683	-0.304	-0.557	-0.586	-0.591
411	MAP2K1IP1	-0.043	0.326	0.01	0.018	0.109
412	DKFZP564D172	-0.912	0.254	-0.03	-0.487	-0.432
413		-2.11	-0.647	-0.404	-0.652	-0.735
414		-0.859	0.091	-0.197	-0.405	-0.358
415	HSPC065	-1.122	-0.02	-0.306	-0.244	-0.148
416	ACE2	-2.097	-0.111	-0.311	-0.951	-0.332
417		-1.62	-0.205	-0.34	-0.613	0.032
418		-2.87	-0.748	-0.233	-1.19	-0.739
419		-1.741	-0.184	-0.287	-0.606	-0.52
420		-1.592	0.612	0.999	0.41	0.686
421	KIAA1275	-1.163	-0.197	-0.145	-0.854	-0.051
422		-1.355	-0.202	-0.267	-0.686	-0.29
423		-0.805	0.16	-0.007	-0.287	-0.245
424		-0.876	-0.313	0.085	-0.155	0.211
425		-1.062	-0.148	-0.261	-0.507	-0.368
426		-0.361	0.178	0.188	0.043	0.244
427	LOC152573	-1.097	-0.138	-0.222	-0.708	-0.407
428		-0.883	-0.281	-0.894	-0.366	-0.315
429		-2.307	-0.222	-0.287	-0.692	-0.158
430		-1.516	-0.137	-0.292	-0.1	-0.17
431	LOC88745	-0.44	-0.072	-0.375	-0.092	-0.132
432		-1.127	0.011	-0.3	-0.794	0.597
433	ARS2	0.233	0.411	-0.323	0.335	-0.104
434	DJ667H12.2	-0.668	0.627	-0.167	-0.033	-0.532
435	PPIF	-0.156	-0.152	-0.415	-0.784	-0.89
436		0.108	0.265	-0.034	0	-0.226
437	DDX30	-1.09	0.195	0.066	-0.214	-0.247
438		-0.994	-0.078	-0.153	-0.489	-0.231
439	TUBD1	-0.486	-0.152	-0.326	-0.444	-0.559
440	PA200	-0.029	0.108	0.038	0.032	0.088
441	IL13RA1	0.01	0.427	0.124	-0.029	-0.124
442		-1.108	-0.228	-0.339	-0.18	-0.157
443		-0.967	0.092	0	-0.439	-0.255
444		-1.136	-0.128	-0.246	-0.39	-0.345
445		-0.586	-0.179	-0.34	-0.305	-0.06
446		-1.481	-0.025	-0.019	-0.308	0.092
447	FLJ13490	-0.467	0.021	-0.219	-0.169	-0.21
448		-0.915	-0.156	-0.3	-0.572	-0.19
449		-0.927	0.008	0.228	-0.472	-0.335
450		-1.374	-0.06	0.109	-0.761	-0.233
451	KIAA0769	0.017	0.088	-0.19	-0.112	-0.293
452	CPS1	-0.513	-0.154	-0.317	-0.428	0.043
453		-0.421	-0.128	-0.099	-0.361	-0.319
454		0.041	-0.122	-0.172	-0.204	-0.308
455		-0.397	-0.26	0.471	-0.028	0.211
456	PSEN1	-0.391	0.684	0.885	0.812	0.972
457		-0.79	0.046	-0.069	-0.292	-0.057
458		-1.28	-0.229	0.16	-0.608	-0.067
459		-0.963	0.104	0.114	-0.359	-0.036
460		-1.305	-0.456	-0.283	-0.637	-0.182
461		-0.239	0.801	0.291	0.634	0.564
462		-1.213	-0.365	-0.076	-0.49	-0.243
463		-1.261	0.232	-0.026	0.019	0.211
464	ARPC4	-1.161	0.193	0.009	-0.329	-0.055
465		-1.072	-0.044	-0.05	-0.658	-0.248
466		-0.401	0.417	0.45	0.062	0.724
467		-0.937	0.327	0.623	0.156	0.166
468		-1.18	-0.199	0.014	-0.109	-0.186
469		-0.616	-0.331	-0.267	-0.392	-0.725
470		-1.233	-0.652	-0.374	-0.894	-0.901
471		-2.019	-0.314	-0.662	-0.564	-1.026
472		-1.483	-0.289	-0.284	-0.675	-0.337
473		-1.696	-0.306	-0.366	-0.539	-0.343
474		-0.997	0.021	-0.029	-0.241	-0.312
475		-1.577	-0.4	-0.269	-0.301	-0.439
476		-0.676	-0.006	-0.004	-0.376	-0.221
477		-0.687	0.137	-0.14	-0.657	-0.484
478		-0.408	1.165	0.491	0.905	1.207
479		-0.618	-0.075	0.054	-0.512	-0.221
480		-0.945	-0.512	0.253	-0.518	-0.271
481		-0.351	-0.173	0.189	0.29	0.179
482		-0.681	-0.152	-0.185	-0.089	0.05
