SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
47	CNTN1	-0.646	-0.45	-0.291	-0.095	-0.16
48	C8A	-0.645	-0.509	-0.303	-0.017	0.043
49	CXCR4	-0.654	-0.776	-0.552	-0.67	-0.469
50	SFRS4	0.124	0.029	-0.154	0.186	-0.239
51	SFRS1	0.173	0.383	0.21	0.384	-0.307
52	PBX2	-0.009	0.045	-0.222	-0.102	0.321
53	PLEK	-0.467	-0.574	-0.402	-0.512	-0.452
54	SLC15A2	-0.237	-0.304	-0.579	-0.255	-0.595
55	HLA-DPB1	-0.254	-0.218	-0.197	0.162	-0.051
56	MST1	-0.461	-0.572	-0.564	-0.457	-0.263
57	MEF2A	0.019	-0.2	-0.084	0.206	0.157
58	EPRS	-0.056	-0.034	-0.093	0.382	0.099
59	HLA-DQB1	-0.449	-0.334	-0.452	-0.067	-0.277
60	MHC2TA	-0.687	-0.453	-0.66	-0.598	-0.494
61	PTK2	0.103	-0.023	-0.246	0.313	0.201
62	STE	-0.277	-0.152	0.009	-0.05	-0.175
63	EZH2	0.059	0.24	-0.012	-0.002	-0.255
64	METAP2	0.09	0.41	0.017	0.338	-0.129
65	DGKZ	-0.252	-0.202	-0.26	-0.784	0.137
66	CASP9	-0.121	0.028	-0.334	-0.13	-0.064
67	MGAT2	0.047	0.003	0.001	0.392	0.266
68	TXNRD2	-0.249	-0.145	-0.451	-0.564	-0.153
69	PSMD4	0.001	0.001	-0.006	-0.089	-0.041
70	PCBP1	-0.059	0.222	-0.051	0.216	-0.101
71	SGCA	-0.162	-0.066	-0.25	-0.022	-0.11
72	SLC16A2	-0.301	-0.366	-0.341	-0.097	-0.204
73	PFN1	-0.203	0.137	0.085	0.225	-0.047
74	DDB1	0.087	0.106	-0.104	-0.173	-0.367
75	MAP2K3	0.065	0.255	0.285	-0.097	-0.109
76	DNAJB1	0.073	0.277	0.508	0.195	0.038
77	XRCC1	-0.028	0.074	-0.151	-0.109	-0.395
78	TOP1	0.074	0.193	0.205	0.343	-0.144
79	CSTF2	-0.134	-0.119	-0.512	-0.329	-0.4
80	CHC1	-0.496	-0.091	-0.19	-0.464	-0.795
81	CPS1	-0.159	-0.011	-0.225	-0.16	-0.136
82	CRABP2	0.125	0.513	0.414	0.775	0.427
83	CDC25A	0.098	0.206	-0.017	0.152	-0.128
84	CAV1	-0.095	0.095	-0.296	-0.402	-0.688
85	GTF2IRD1	-0.259	-0.195	-0.154	-0.382	0.104
86	PX19	-0.088	0.22	-0.087	-0.118	-0.391
87	C20orf4	-0.334	-0.29	-0.365	-0.318	-0.505
88	FLJ14431	-0.108	-0.079	-0.171	-0.033	0.087
89	SLC25A16	-0.334	-0.335	-0.353	-0.38	-0.393
90	PRO2852	-0.003	-0.143	-0.001	0.276	0.115
91		-0.166	-0.308	-0.153	-0.188	-0.128
92	FLJ10404	-0.061	-0.321	-0.261	-0.37	-0.094
93	LCP2	-0.238	-0.396	-0.342	-0.1	-0.252
94	MLF1	-0.516	-0.575	-0.411	-0.29	-0.539
95	STAC	-0.708	-0.716	-0.221	-0.394	-0.45
96	RTKN	0.438	0.238	0.144	-0.554	0.973
97		-0.538	-0.517	-0.41	-0.294	-0.337
98		-0.477	-0.859	-0.301	-0.002	-0.4
99		-0.329	-0.378	-0.356	-0.327	-0.301
100		-0.507	-0.053	-0.175	-0.109	-0.123
101		-0.121	-0.028	-0.075	0.117	0.109
102		-0.335	-0.499	-0.545	-0.206	-0.217
103	FLJ10563	0.102	0.479	0.929	0.684	-0.163
104		-0.145	-0.196	-0.336	-0.408	-0.155
105	HIC2	-0.036	-0.124	0.492	0.166	0.109
106	LOC51097	-0.078	-0.047	-0.014	0.117	-0.272
107	EXO70	-0.036	-0.205	-0.279	-0.506	-0.167
108	MGC5627	0.276	0.543	0.093	-0.139	-0.051
109	BEX1	-0.729	-0.592	-0.679	-0.411	-0.576
110		-0.219	-0.137	-0.216	-0.094	-0.142
111		-0.562	-0.397	-0.412	-0.387	-0.176
112		-0.366			-0.175	-0.231
113		-0.377	-0.347	-0.427	-0.757	-0.237
114		-0.707	-0.635	-0.666	-0.459	-0.328
115		-0.12	-0.233	-0.025	-0.214	0.172
116		-0.318	-0.278	-0.458	-0.406	0.011
117		-0.328	-0.316	-0.549	-0.134	-0.217
118		4.061	-0.415	3.7	1.246	2.036
119	DKFZP434H132	-0.296	-0.299	-0.238	0.01	0.012
120		-0.393	-0.521	-0.35	-0.437	-0.44
121		-0.18	-0.589	-0.057	0.087	-0.559
122		-0.321	-0.099	-0.271	-0.229	-0.459
123	RC3	-0.75	-0.644	-0.069	-0.003	-0.503
124	AMACR	-0.289	0.048	-0.274	-0.372	-0.079
125		-0.163	-0.125	-0.033	0.086	-0.032
126	MINA53	0.18	0.315	0.008	0.281	0.125
127	APBB2	0.494	0.371	0.063	0.126	0.47
128	WDR9	0.046	-0.265	-0.219	-0.005	-0.122
129		-0.536	-0.412	-0.185	-0.266	-0.361
130	EZF-2	-0.037	-0.401	-0.526	-0.734	-0.186
131		-0.554	-0.535	-0.404	-0.397	-0.348
132		-0.235	-0.298	-0.11	-0.292	-0.294
133		-0.051	-0.042	0.053	0.096	0.142
134		-0.247	-0.192	-0.437	-0.3	-0.167
135		-0.239	-0.422	-0.184	-0.273	0.02
136	FLJ11806	-0.003	0.295	0.014	0.053	-0.048
137		-0.286	-0.144	0.093	0.003	0.135
138		-0.005	-0.023	-0.234	-0.091	0.104
139		-0.416	-0.309	-0.313	-0.391	-0.226
140		-0.342	-0.594	-0.149	-0.157	0.051
141		-0.522	-0.3	-0.207	-0.378	-0.37
142		-0.118	-0.555	-0.526	-0.254	0.015
143		-0.267	-0.38	-0.412	-0.165	-0.303
144	BHMT2	-0.71	-0.215	-0.672	-0.123	-0.562
145		-0.135	-0.059	-0.086	0.003	-0.443
146		-0.052	-0.357	-0.076	-0.085	0.151
147	MGC2734	0.023	-0.038	-0.09	0.178	-0.153
148		-0.08	-0.416	-0.127	-0.188	-0.405
149		0.472	0.047	-0.058	0.448	0.298
150		-0.405	-0.4	-0.217	0.526	0.138
151	FLJ37953	0.034	0.094	-0.05	0.255	0.166
152		-0.372	-0.403	-0.002	-0.289	-0.287
153		-0.501	-0.183	-0.224	-0.393	-0.145
154		-0.813	-0.795	-0.437	-0.589	-0.461
155		-0.802	-0.469	-0.381	-0.464	-0.539
156		0.011	-0.201	-0.029	-0.21	-0.055
157	TYRP1	-0.31	-0.305	-0.199	-0.174	-0.377
158	PROS1	-0.643	-0.334	-0.246	-0.231	-0.336
159	ICA1	0.051	0.14	-0.252	-0.031	0.016
160	OGT	0.094	-0.162	-0.049	0.376	0.403
161	B4GALT1	0.06	-0.096	-0.036	0.029	0.112
162	ZNF226	0.211	0.216	-0.197	-0.148	-0.03
163	NEURL	-0.469	-0.304	-0.336	-0.329	-0.279
164	RFXANK	-0.038	0.054	-0.173	-0.277	-0.208
165	GK001	0.078	0.112	-0.176	-0.178	0.128
166		-0.465	-0.448	-0.408	-0.576	-0.523
167	MDS029	-0.249	-0.13	-0.38	-0.203	-0.539
168	FLJ14360	-0.361	-0.283	-0.36	-0.808	-0.091
169	FLJ90524	-0.024	-0.307	-0.336	-0.52	-0.177
170	HSA243396	-0.615	-0.433	-0.266	-0.197	-0.59
171	UBE2E3	-0.059	0.08	-0.318	-0.184	-0.393
172	LOC57826	-0.094	0.07	-0.074	0.563	0.28
173	HT002	0.072	0.073	-0.115	-0.08	0.06
174	ZNFN1A1	-0.325	-0.402	-0.214	-0.127	-0.295
175	CDC42EP3	-0.357	-0.358	-0.447	-0.273	-0.506
176	RGS12	-0.116	-0.079	-0.111	0.182	0.082
177		-0.157	-0.356	-0.092	-0.294	-0.1
178		0.001	0.007	-0.039	0.328	0.09
179	FLJ20758	-0.036	0.064	-0.211	0.013	-0.293
180		0.023	-0.019	-0.165	-0.086	-0.164
181		-0.641	-0.448	-0.324	-0.232	-0.344
182	SRP46	0.247	0.255	0.085	-0.053	-0.294
183	SCARA3	-0.269	-0.217	-0.286	-0.232	-0.377
184	ChGn	-0.715	-0.758	-0.337	-0.342	-0.492
185		-0.554	-0.822	-0.319	-0.241	-0.314
186	MURR1	-0.135	0.101	-0.209	-0.096	-0.533
187		-0.055	-0.003	-0.333	-0.334	0.065
188		-0.499	-0.397	-0.42	-0.447	-0.666
189		-0.822	-0.409	-0.452	-0.268	-0.085
190	KIAA1694	-0.126	0.017	0.123	0.051	0.164
191	SERPINA1	-0.538	-0.461	-0.648	-0.41	-0.576
192		-0.417	-0.617	-0.277	-0.323	-0.184
193	LOC91689	-0.047	0.042	-0.243	-0.123	-0.375
194	RTN4R	-0.173	-0.023	-0.172	-0.326	-0.257
195		-0.193	0.047	-0.405	-0.236	-0.211
196	FLJ20507	-0.052	0.019	-0.099	0.094	0.136
197	HSPC157	-0.468	-0.165	-0.413	-0.4	-0.337
198	KIAA1501	-0.592	-0.245	-0.494	-0.27	-0.302
199	FLJ11184	-0.091	0.118	-0.046	-0.244	-0.509
200		-0.053	-0.034	-0.29	-0.094	-0.347
201		-0.326	-0.44	-0.381	-0.432	-0.403
202	ARL6IP4	-0.117	-0.151	-0.235	-0.232	-0.263
203		-0.484	-0.614	-0.342	-0.509	-0.385
204	PTPN1	-0.39	-0.44	-0.123	-0.36	-0.067
205	CTNNBIP1	-0.457	-0.115	-0.409	-0.425	-0.403
206	AMD1	-0.14	0.186	-0.022	-0.088	-0.537
207		-0.25	-0.136	-0.115	-0.209	-0.372
208		-0.479	-0.505	-0.641	-0.652	0.036
209		-0.371	-0.348	-0.239	-0.137	-0.109
210		-0.636	-0.354	-0.37	-0.673	-0.46
211	KIAA0831	-0.137	-0.009	-0.12	0.148	-0.198
212	GOSR2	0.024	-0.094	-0.287	0.068	0.112
213	PLIN	-0.54	-0.465	-0.519	-0.211	-0.237
214	C20orf11	0.06	0.072	-0.142	-0.044	-0.182
215	MGC12981	-0.051	-0.027	-0.355	-0.427	-0.337
216		-0.043	-0.303	-0.246	-0.195	0.08
217	CRTAP	-0.482	-0.573	-0.546	-0.61	-0.738
218	FBXO9	0.319	0.238	-0.147	0.053	0.252
219	TSFM	-0.294	-0.276	-0.435	-0.32	-0.191
220		-0.263	-0.227	-0.428	-0.781	-1.185
221	FGF18	0.043	0.074	-0.075	-0.752	-1.417
222	RAI2	-0.303	-0.272	-0.326	-0.039	-0.159
223	SYTL2	-0.01	0.042	-0.528	-0.548	-0.227
224		-0.713	-0.549	-0.272	-0.479	-0.387
225		-0.24	-0.163	-0.471	-0.467	-0.384
226		-0.396	-0.492	-0.206	-0.309	-0.023
227		0.069	-0.016	-0.078	0.014	0.063
228		-0.445	-0.672	-0.358	-0.189	-0.042
229		-0.038	0.006	-0.406	-0.44	-0.599
230	SNAI2	-0.297	-0.254	-0.195	-0.118	-0.305
231		-0.389	-0.414	-0.766	-0.158	-0.317
232	FLJ20036	0.236	-0.044	0.833	0.964	0.36
233	FLJ10539	0.049	-0.051	0.076	0.191	-0.137
234	POP3	-0.516	0.147	-0.146	0.024	-0.192
235	FLJ22729	-0.142	0.046	-0.156	0.098	-0.431
236	SPTA1	-0.832	0.001	-0.293	-0.215	-0.424
237		-0.26	0.039	-0.477	-0.285	-0.445
238	CYGB	-0.099	0.002	-0.11	-0.276	-0.323
239		-0.165	-0.171	-0.288	-0.226	-0.38
240	ARIH2	-0.126	0.174	-0.141	-0.271	-0.427
241		-0.266	-0.22	-0.022	0.542	0.177
242	PP1201	0.418	-0.043	-0.253	-0.096	1.381
243		-0.062	-0.036	0.274	0.409	0.416
244	DNAJB6	0.17	0.15	0.456	0.613	0.19
245		-0.095	-0.19	-0.11	0.542	0.331
246		-0.129	-0.442	-0.355	-0.043	0.102
247	KIAA0963	0.037	-0.018	0.401	0.285	0.781
248		-0.728	-0.544	-0.509	-0.45	-0.479
249		-0.105	-0.082	-0.192	-0.181	-0.051
250	TRAP240	0.512	0.391	0.57	0.831	0.89
251	FLJ13386	0.093	0.206	-0.187	-0.048	-0.303
252		-0.287	-0.332	-0.49	-0.43	-0.237
253	RBP3	-0.015	0.095	0.036	0.243	-0.006
254	RARG	-0.132	-0.264	-0.253	-0.25	-0.16
255	RB1	0.218	0.042	0.015	0.189	-0.038
256	RGS1	-0.203	-0.457	-0.354	0.176	-0.149
257	RCV1	-0.045	-0.376	-0.051	-0.099	-0.223
258	RAP1GA1	-0.215	-0.032	-0.214	-0.085	-0.237
259	PRKCQ	-0.169	-0.443	-0.509	-0.365	-0.241
260	EPB41	-0.146	-0.226	-0.19	-0.051	-0.032
261	USP8	-0.057	-0.114	-0.081	0.322	-0.069
262	KCNA1	-0.241	-0.069	-0.228	-0.245	-0.249
263	DP1	0.071	0.07	-0.053	0.09	0.003
264	PIK4CA	-0.25	0.073	-0.412	-0.092	0.053
265	CASP6	0.08	-0.066	-0.27	-0.213	-0.292
266	CDKN1B	-0.348	-0.218	0.05	0.585	0.003
267	HMGCS2	-0.405	0.172	-0.282	0.347	-0.268
268	KIAA1564	0.096	0.044	-0.141	-0.15	-0.019
269		-0.179	0.06	-0.216	-0.077	-0.007
270	HSU79303	-0.085	0.478	0.206	0.283	-0.067
271	ADORA2A	-0.189	0.113	-0.039	0.056	-0.115
272	ACK1	-0.256	-0.078	-0.39	-0.36	-0.642
273	VBP1	-0.071	0.261	-0.086	0.299	-0.295
274	TLR2	-0.097	-0.198	0.034	-0.152	-0.149
275	TANK	-0.029	0.067	0.331	0.47	0.106
276	MAP3K7IP1	-0.197	-0.076	-0.449	-0.544	-0.296
277	CCIN	-0.375	-0.24	-0.367	-0.101	-0.166
278	ABH	-0.149	-0.052	0.103	0.144	-0.121
279	PIK3R4	0.129	0.138	0.23	0.355	0.31
280	GALNT3	0.062	0.193	0.56	1.123	0.54
281	DDX21	0.112	0.349	0.208	0.211	-0.361
282	SEC23B	0.074	0.168	-0.001	0.345	-0.159
283	M17S2	-0.619	-0.04	-0.202	0.15	0.018
284	NFIL3	-0.046	-0.221	0.343	0.924	0.68
285	BCAP31	0.034	0.039	-0.216	-0.282	-0.265
286	GNAZ	-0.085	-0.063	-0.131	-0.098	0.045
287	GNAI2	0.194	0.275	0.112	0.141	0.489
288	GZMK	-0.866	-0.855	-0.636	-0.358	-0.623
289		-0.444	-0.321	-0.13	-0.176	-0.443
290	HGD	-0.319	-0.139	-0.086	-0.095	-0.225
291	TAF6	0.111	0.188	-0.155	-0.402	0.181
292	FCGBP	-0.076	0.111	-0.235	-0.427	-0.192
293	ISG20	-0.402	-0.468	-0.093	0.391	0.921
294	TFDP2	-0.034	0.296	0.11	0.016	-0.057
295	RFC4	-0.153	0.203	-0.281	-0.042	-0.716
296	FLJ10193	-0.132	0.301	0.005	-0.142	0.059
297	RENT2	0.229	0.329	0.108	0.172	-0.009
298	GAS41	-0.331	-0.026	-0.514	-0.133	-0.602
299	FUSIP1	0.167	0.238	0.068	0.176	-0.122
300		-0.089	0.163	-0.021	0.077	-0.073
301	KIAA1726	-0.487	-0.305	-0.479	-0.379	-0.169
302	MSH5	-0.41	-0.095	-0.663	-0.587	-0.16
303		-0.436	0.346	-0.512	-0.048	-0.212
304		0.047	0.328	-0.133	0.062	-0.209
305	FLJ36525	0.135	-0.139	-0.258	-0.106	0.6
306	NME5	-0.829	-0.62	-0.016	-0.11	-0.659
307	DNAJC8	0.025	0.282	-0.074	-0.019	-0.272
308	PLXNB3	0.397	0.039	0.132	0.049	1.173
309	TCL6	-0.499	-1.178	-0.383	0.099	-0.823
310	WNT2	-0.479	-0.838	-0.406	-0.406	0.126
311	TERF1	-0.651	-0.779	-1.134	-0.805	-1.394
312	KIAA0226	-0.177	-0.112	-0.404	-0.52	-0.436
313	THO2	0.08	-0.067	-0.14	0.1	-0.047
314		-0.629	-0.751	-0.483	-0.211	-0.316
315	HSA243396	-0.529	-0.047	-0.248	0.103	-0.414
316		-0.053	-0.042	-0.156	0.132	-0.148
317	GDAP1	0.025	0.008	0.026	0.54	0.379
318		-0.235	0.264	-0.226	-0.074	-0.156
319		-1.555	0.121	-0.419	0.183	-0.208
320		-0.463	-0.822	0.593	-0.349	-0.056
321	FACL3	-0.001	0.041	-0.175	-0.004	-0.274
322	PTPRD	-0.323	-0.189	-0.209	1.343	-0.71
323	KIAA1705	-0.87	-0.163	-0.237	0.719	-0.604
324		-0.834	-0.439	-0.484	0.088	-1.169
325	ZNF135	-0.302	-0.096	-0.187	-0.034	-0.469
326	UGT2B4	-0.376	0.073	-0.231	-0.107	-0.309
327	USP1	0.209	0.132	0.192	0.275	-0.022
328	MGC9344	0.238	0.344	0.072	0.645	0.45
329	SNRPE	0.139	0.302	0.053	0.275	-0.503
330	SPAG11	0.02	0.383	0.036	0.119	-0.215
331	RPL15	0.153	0.272	0.174	0.245	0.048
332	ZW10	0.08	0.292	0.119	0.101	-0.068
333	ARHGAP5	-0.172	0.017	-0.347	-0.186	-0.24
334	MDFI	-0.142	0.14	-0.293	0.001	-0.091
335	SCARB2	0.276	0.123	-0.349	0.012	-0.036
336	KIAA0354	-0.085	-0.014	-0.344	-0.134	-0.076
337	BBS2	0.22	0.071	-0.167	0.026	-0.079
338	MGC23937	0.151	0.06	-0.084	0.41	0.347
339	HBS1L	0.351	0.589	0.334	0.541	0.158
340	POLR3K	-0.106	0.237	-0.233	-0.365	-0.754
341	ABS	-0.043	0.25	-0.053	0.046	-0.122
342	LOC152399	-0.004	0.063	0.135	0.631	0.164
343	FLJ13448	0.056	0.036	0.113	0.42	0.413
344	TOM1	-0.143	-0.074	-0.252	-0.384	-0.111
345		-0.124	0.006	0.019	-0.011	0.066
346		-0.163	0.35	-0.292	-0.621	-0.6
347		-0.153	0.195	-0.208	-0.213	-0.523
348		-0.97	-0.327	-0.424	-0.301	-0.6
349	MGC11266	-0.191	0.036	-0.129	-0.147	-0.173
350	TAZ	0.011	-0.107	-0.025	0.305	0.357
351	C15orf15	-0.46	-0.013	-0.06	0.432	-0.406
352		0.119	0.457	0.101	0.076	-0.185
353	MRPL2	-0.016	0.294	0.038	-0.016	-0.274
354	RPS27L	0.027	-0.098	-0.156	0.367	-0.137
355	FLJ32954	-0.161	-0.131	-0.253	-0.106	-0.056
356		-0.25	-0.063	-0.222	-0.341	-0.186
357		-0.406	-0.092	-0.492	-0.188	0
358		-0.254	-0.152	-0.381	-0.306	-0.142
359		-0.338	-0.049	-0.39	-0.059	-0.153
360		-0.078	0.029	-0.412	0.04	-0.087
361		-0.163	0.235	-0.62	-0.357	-0.131
362	MRPL46	-0.028	0.246	-0.391	-0.248	-0.329
363		0.184	0.391	-0.477	-0.022	0.298
364		0.035	-0.059	-0.426	-0.109	-0.003
365	C8orf2	0.272	-0.084	-0.272	-0.054	-0.002
366	MGC16733	0.151	0.109	-0.121	-0.085	-0.105
367	FLJ90586	0.044	-0.113	-0.788	-0.806	-0.884
368		-0.376	-0.475	-0.372	-0.265	-0.254
369		0.216	-0.182	-0.29	-0.046	-0.105
370	PGCP	-0.165	0.026	-0.368	-0.292	-0.361
371		-0.11	0.059	-0.314	-0.305	-0.086
372	KIAA0663	0.506	0.618	0.267	0.497	0.671
373		-0.16	-0.495	-0.522	-0.28	0.09
374		-1.49	-1.009	-1.043	-1.261	-1.31
375		-0.606	-0.266	-0.352	-0.317	-0.391
376		-0.042	-0.226	-0.438	-0.089	-0.459
377		-0.452	-0.952	-0.885	-0.589	-0.154
378		-1.227	-0.993	-0.785	-0.701	-0.821
379		-0.208	0.039	-0.096	-0.204	-0.247
380		-0.733	-0.487	-0.339	-0.256	-0.386
381		-1.032	-0.609	-0.687	-0.346	-0.778
382		-0.273	-0.162	-0.411	-0.253	-0.534
383		0.129	-0.108	0.047	0.416	0.356
384	FLJ21613	-0.252	0.017	-0.388	-0.076	-0.179
385	KIAA1474	-0.91	-0.782	-0.714	-0.477	-0.913
386	NYD-SP15	-0.648	-0.564	-0.684	-0.397	-0.449
387	DDX5	-0.175	-0.038	0.116	0.23	-0.063
388	HOOK3	0.335	0.132	-0.292	0.744	0.914
389		-0.396	-0.392	-0.289	-0.149	-0.322
390		-0.16	0.015	-0.313	0.06	-0.088
391	REV1L	0.166	0.546	-0.36	0.25	-0.108
392	MMP24	0.104	0.182	-0.5	-0.176	0.005
393		-0.489	-0.24	-0.16	-0.476	-0.346
394		-0.949	-0.447	-0.313	-0.496	-0.663
395	SLC25A21	-0.296	-0.335	-0.411	-0.236	-0.431
396		-1.159	-0.566	-0.852	-0.774	-0.985
397	CBARA1	-0.166	-0.034	-0.336	-0.273	-0.319
398	KIAA0892	0.048	0.066	-0.312	-0.428	-0.046
399	FCGR2B	0.076	0.078	-0.377	-0.344	-0.265
400		-0.187	-0.494	-0.106	-0.001	0.139
401	DKFZp761B128	-0.152	-0.083	-0.196	0.096	-0.356
402		-1.141	-0.756	-0.742	-1.157	-0.871
403		-0.406	-0.134	-0.179	-0.263	-0.251
404	UNC84A	-0.566	-0.438	-0.618	-0.415	-0.204
405	FLJ11210	0.218	0.283	-0.063	0.003	0.166
406		-0.916	-0.085	-0.468	-0.514	-0.618
407		-0.3	-0.121	-0.293	-0.263	-0.384
408	ZFP95	0.053	0.049	-0.075	-0.085	-0.067
409		-0.502	-0.591	-0.451	-0.543	-0.437
410		-0.916	-0.595	-0.663	-0.542	-0.545
411	MAP2K1IP1	0.356	0.045	-0.145	0.066	0.002
412	DKFZP564D172	-0.108	-0.123	-0.49	-0.124	-0.352
413		-0.994	-0.52	-1.063	-0.946	-0.576
414		-0.456	-0.432	-0.393	-0.237	-0.185
415	HSPC065	-0.681	-0.089	-0.209	-0.128	-0.142
416	ACE2	-1.014	-0.663	-0.726	-0.916	-0.906
417		-0.923	-0.432	-0.714	-0.437	-0.426
418		-1.284	-0.502	-1.104	-0.664	-0.492
419		-0.589	-0.245	-0.98	-0.75	-0.747
420		-0.819	-0.091	0.53	-0.22	0.507
421	KIAA1275	-0.848	-0.998	-0.983	-0.426	-1.107
422		-1.018	-0.608	-0.736	-0.83	-0.806
423		-0.609	-0.253	-0.252	-0.189	-0.309
424		-0.817	0.081	-0.25	-0.301	-0.443
425		-0.605	-0.346	-0.417	-0.419	-0.508
426		-0.104	0.036	-0.018	0.104	0.014
427	LOC152573	-0.791	-0.483	-0.666	-0.328	-0.628
428		-0.389	-0.761	-0.485	-0.407	-0.589
429		-0.867	-0.416	-0.746	-0.812	-0.555
430		-0.424	-0.273	-0.58	-0.651	-0.569
431	LOC88745	-0.136	0.038	-0.283	-0.193	-0.159
432		-0.228	-0.186	-0.165	-0.669	0.117
433	ARS2	0.16	0.345	0.016	-0.276	-0.055
434	DJ667H12.2	-0.032	0.01	-0.371	-0.305	-0.494
435	PPIF	-0.075	0.14	-0.119	-0.444	-0.671
436		0.273	0.35	-0.053	0.178	-0.109
437	DDX30	-0.392	-0.223	-0.259	-0.128	-0.135
438		-0.4	-0.15	-0.424	-0.05	-0.176
439	TUBD1	-0.204	-0.141	-0.134	-0.058	-0.364
440	PA200	0.027	0.203	-0.063	0.233	0.154
441	IL13RA1	0.317	0.262	-0.053	0.036	0.042
442		-0.273	-0.308	-0.322	-0.115	-0.195
443		-0.396	-0.531	-0.496	-0.373	-0.31
444		-0.534	-0.172	-0.324	-0.144	-0.125
445		-0.313	-0.22	-0.311	-0.009	0.01
446		0.031	-0.225	-0.202	-0.218	-0.032
447	FLJ13490	-0.207	-0.04	-0.197	0.416	-0.068
448		-0.785	-0.443	-0.792	-0.11	-0.017
449		-0.542	-0.327	-0.312	-0.339	-0.503
450		-0.508	-0.406	-0.606	-0.143	-0.61
451	KIAA0769	-0.05	0.108	-0.085	0.036	-0.185
452	CPS1	-0.2	-0.406	-0.607	-0.245	-0.25
453		-0.169	-0.059	-0.259	-0.066	-0.329
454		-0.141	0.165	-0.025	0.008	-0.133
455		-0.35	-0.516	-0.193	-0.325	-0.096
456	PSEN1	0.487	-0.139	-0.13	0.294	0.929
457		-0.351	-0.049	-0.052	0.046	-0.052
458		-0.992	-0.493	-0.43	-0.489	-0.274
459		-0.644	-0.152	-0.336	-0.313	-0.273
460		-0.52	-0.481	-0.526	-0.353	-0.003
461		0.185	0.493	0.05	0.084	0.465
462		-0.612	-0.593	-0.201	0.275	-0.502
463		-0.355	-0.313	-0.457	-0.122	0.075
464	ARPC4	-0.461	-0.418	-0.408	-0.411	-0.131
465		-0.695	-0.359	-0.565	-0.36	-0.137
466		-0.245	-0.517	-0.174	-0.318	0.374
467		-0.319	-0.093	0.035	0.137	0.22
468		-0.735	-0.369	-0.449	-0.263	-0.021
469		-0.564	-0.151	-0.202	-0.049	-0.495
470		-1.013	-0.718	-0.684	-0.69	-0.362
471		-0.998	-0.621	-0.923	-0.355	0.988
472		-0.763	-0.412	-0.353	-0.274	-0.205
473		-0.468	-0.778	-0.685	-0.194	-0.475
474		-0.439	-0.347	-0.331	-0.198	0.026
475		-0.917	-0.69	-0.632	-0.187	-0.385
